source,frame,sub,field,index,expected
ALGTHM,0,-1,L0,-1,1
ALGTHM,0,-1,L1,-1,105
ALGTHM,0,-1,L2,-1,17
ALGTHM,0,-1,L3,-1,0
ALGTHM,0,-1,P1,-1,2
ALGTHM,0,-1,P0,-1,1
ALGTHM,0,-1,C1,-1,0
ALGTHM,0,-1,S1,-1,15
ALGTHM,0,-1,GA1,-1,5
ALGTHM,0,-1,GB1,-1,6
ALGTHM,0,-1,P2,-1,2
ALGTHM,0,-1,C2,-1,6134
ALGTHM,0,-1,S2,-1,15
ALGTHM,0,-1,GA2,-1,6
ALGTHM,0,-1,GB2,-1,2
ALGTHM,0,0,lsf_q13,0,
ALGTHM,0,0,lsp_q15,0,
ALGTHM,0,0,lsf_q13,1,
ALGTHM,0,0,lsp_q15,1,
ALGTHM,0,0,lsf_q13,2,
ALGTHM,0,0,lsp_q15,2,
ALGTHM,0,0,lsf_q13,3,
ALGTHM,0,0,lsp_q15,3,
ALGTHM,0,0,lsf_q13,4,
ALGTHM,0,0,lsp_q15,4,
ALGTHM,0,0,lsf_q13,5,
ALGTHM,0,0,lsp_q15,5,
ALGTHM,0,0,lsf_q13,6,
ALGTHM,0,0,lsp_q15,6,
ALGTHM,0,0,lsf_q13,7,
ALGTHM,0,0,lsp_q15,7,
ALGTHM,0,0,lsf_q13,8,
ALGTHM,0,0,lsp_q15,8,
ALGTHM,0,0,lsf_q13,9,
ALGTHM,0,0,lsp_q15,9,
ALGTHM,0,0,lp_a_q12,0,
ALGTHM,0,0,lp_a_q12,1,
ALGTHM,0,0,lp_a_q12,2,
ALGTHM,0,0,lp_a_q12,3,
ALGTHM,0,0,lp_a_q12,4,
ALGTHM,0,0,lp_a_q12,5,
ALGTHM,0,0,lp_a_q12,6,
ALGTHM,0,0,lp_a_q12,7,
ALGTHM,0,0,lp_a_q12,8,
ALGTHM,0,0,lp_a_q12,9,
ALGTHM,0,0,lp_a_q12,10,
ALGTHM,0,1,lsf_q13,0,
ALGTHM,0,1,lsp_q15,0,
ALGTHM,0,1,lsf_q13,1,
ALGTHM,0,1,lsp_q15,1,
ALGTHM,0,1,lsf_q13,2,
ALGTHM,0,1,lsp_q15,2,
ALGTHM,0,1,lsf_q13,3,
ALGTHM,0,1,lsp_q15,3,
ALGTHM,0,1,lsf_q13,4,
ALGTHM,0,1,lsp_q15,4,
ALGTHM,0,1,lsf_q13,5,
ALGTHM,0,1,lsp_q15,5,
ALGTHM,0,1,lsf_q13,6,
ALGTHM,0,1,lsp_q15,6,
ALGTHM,0,1,lsf_q13,7,
ALGTHM,0,1,lsp_q15,7,
ALGTHM,0,1,lsf_q13,8,
ALGTHM,0,1,lsp_q15,8,
ALGTHM,0,1,lsf_q13,9,
ALGTHM,0,1,lsp_q15,9,
ALGTHM,0,1,lp_a_q12,0,
ALGTHM,0,1,lp_a_q12,1,
ALGTHM,0,1,lp_a_q12,2,
ALGTHM,0,1,lp_a_q12,3,
ALGTHM,0,1,lp_a_q12,4,
ALGTHM,0,1,lp_a_q12,5,
ALGTHM,0,1,lp_a_q12,6,
ALGTHM,0,1,lp_a_q12,7,
ALGTHM,0,1,lp_a_q12,8,
ALGTHM,0,1,lp_a_q12,9,
ALGTHM,0,1,lp_a_q12,10,
ALGTHM,0,0,pitch_t_int,-1,
