source,frame,sub,field,index,expected,note
ALGTHM,0,0,fixed_c_q13,0,8192,formula_ok
ALGTHM,0,0,fixed_c_q13,1,8192,formula_ok
ALGTHM,0,0,fixed_c_q13,2,8192,formula_ok
ALGTHM,0,0,fixed_c_q13,3,8192,formula_ok
ALGTHM,0,0,fixed_c_q13,4,0,formula_ok
ALGTHM,0,0,fixed_c_q13,5,0,formula_ok
ALGTHM,0,0,fixed_c_q13,6,0,formula_ok
ALGTHM,0,0,fixed_c_q13,7,0,formula_ok
ALGTHM,0,0,fixed_c_q13,8,0,formula_ok
ALGTHM,0,0,fixed_c_q13,9,0,formula_ok
ALGTHM,0,0,fixed_c_q13,10,0,formula_ok
ALGTHM,0,0,fixed_c_q13,11,0,formula_ok
ALGTHM,0,0,fixed_c_q13,12,0,formula_ok
ALGTHM,0,0,fixed_c_q13,13,0,formula_ok
ALGTHM,0,0,fixed_c_q13,14,0,formula_ok
ALGTHM,0,0,fixed_c_q13,15,0,formula_ok
ALGTHM,0,0,fixed_c_q13,16,0,formula_ok
ALGTHM,0,0,fixed_c_q13,17,0,formula_ok
ALGTHM,0,0,fixed_c_q13,18,0,formula_ok
ALGTHM,0,0,fixed_c_q13,19,0,formula_ok
ALGTHM,0,0,fixed_c_q13,20,6554,formula_ok
ALGTHM,0,0,fixed_c_q13,21,6554,formula_ok
ALGTHM,0,0,fixed_c_q13,22,6554,formula_ok
ALGTHM,0,0,fixed_c_q13,23,6554,formula_ok
ALGTHM,0,0,fixed_c_q13,24,0,formula_ok
ALGTHM,0,0,fixed_c_q13,25,0,formula_ok
ALGTHM,0,0,fixed_c_q13,26,0,formula_ok
ALGTHM,0,0,fixed_c_q13,27,0,formula_ok
ALGTHM,0,0,fixed_c_q13,28,0,formula_ok
ALGTHM,0,0,fixed_c_q13,29,0,formula_ok
ALGTHM,0,0,fixed_c_q13,30,0,formula_ok
ALGTHM,0,0,fixed_c_q13,31,0,formula_ok
ALGTHM,0,0,fixed_c_q13,32,0,formula_ok
ALGTHM,0,0,fixed_c_q13,33,0,formula_ok
ALGTHM,0,0,fixed_c_q13,34,0,formula_ok
ALGTHM,0,0,fixed_c_q13,35,0,formula_ok
ALGTHM,0,0,fixed_c_q13,36,0,formula_ok
ALGTHM,0,0,fixed_c_q13,37,0,formula_ok
ALGTHM,0,0,fixed_c_q13,38,0,formula_ok
ALGTHM,0,0,fixed_c_q13,39,0,formula_ok
ALGTHM,0,0,pst_pcm_q0,0,2,pst_file
ALGTHM,0,0,pst_pcm_q0,1,4,pst_file
ALGTHM,0,0,pst_pcm_q0,2,3,pst_file
ALGTHM,0,0,pst_pcm_q0,3,3,pst_file
ALGTHM,0,0,pst_pcm_q0,4,1,pst_file
ALGTHM,0,0,pst_pcm_q0,5,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,6,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,7,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,8,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,9,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,10,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,11,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,12,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,13,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,14,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,15,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,16,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,17,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,18,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,19,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,20,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,21,-1,pst_file
ALGTHM,0,0,pst_pcm_q0,22,0,pst_file
ALGTHM,0,0,pst_pcm_q0,23,0,pst_file
ALGTHM,0,0,pst_pcm_q0,24,0,pst_file
ALGTHM,0,0,pst_pcm_q0,25,0,pst_file
ALGTHM,0,0,pst_pcm_q0,26,0,pst_file
ALGTHM,0,0,pst_pcm_q0,27,0,pst_file
ALGTHM,0,0,pst_pcm_q0,28,0,pst_file
ALGTHM,0,0,pst_pcm_q0,29,0,pst_file
ALGTHM,0,0,pst_pcm_q0,30,0,pst_file
ALGTHM,0,0,pst_pcm_q0,31,0,pst_file
ALGTHM,0,0,pst_pcm_q0,32,0,pst_file
ALGTHM,0,0,pst_pcm_q0,33,0,pst_file
ALGTHM,0,0,pst_pcm_q0,34,0,pst_file
ALGTHM,0,0,pst_pcm_q0,35,0,pst_file
ALGTHM,0,0,pst_pcm_q0,36,0,pst_file
ALGTHM,0,0,pst_pcm_q0,37,0,pst_file
ALGTHM,0,0,pst_pcm_q0,38,0,pst_file
ALGTHM,0,0,pst_pcm_q0,39,0,pst_file
ALGTHM,0,0,hp_inverse_low_q0,0,1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,0,1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,1,2,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,1,2,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,2,1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,2,2,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,3,1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,3,2,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,4,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,4,1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,5,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,5,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,6,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,6,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,7,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,7,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,8,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,8,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,9,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,9,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,10,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,10,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,11,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,11,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,12,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,12,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,13,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,13,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,14,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,14,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,15,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,15,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,16,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,16,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,17,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,17,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,18,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,18,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,19,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,19,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,20,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,20,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,21,-1,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,21,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,22,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,22,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,23,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,23,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,24,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,24,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,25,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,25,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,26,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,26,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,27,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,27,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,28,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,28,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,29,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,29,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,30,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,30,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,31,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,31,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,32,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,32,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,33,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,33,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,34,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,34,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,35,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,35,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,36,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,36,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,37,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,37,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,38,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,38,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_low_q0,39,0,derived_from_pst_x2_inverse
ALGTHM,0,0,hp_inverse_high_q0,39,0,derived_from_pst_x2_inverse
ALGTHM,0,1,pst_pcm_q0,0,0,pst_file
ALGTHM,0,1,pst_pcm_q0,1,0,pst_file
ALGTHM,0,1,pst_pcm_q0,2,0,pst_file
ALGTHM,0,1,pst_pcm_q0,3,0,pst_file
ALGTHM,0,1,pst_pcm_q0,4,0,pst_file
ALGTHM,0,1,pst_pcm_q0,5,0,pst_file
ALGTHM,0,1,pst_pcm_q0,6,0,pst_file
ALGTHM,0,1,pst_pcm_q0,7,0,pst_file
ALGTHM,0,1,pst_pcm_q0,8,0,pst_file
ALGTHM,0,1,pst_pcm_q0,9,0,pst_file
ALGTHM,0,1,pst_pcm_q0,10,0,pst_file
ALGTHM,0,1,pst_pcm_q0,11,0,pst_file
ALGTHM,0,1,pst_pcm_q0,12,0,pst_file
ALGTHM,0,1,pst_pcm_q0,13,0,pst_file
ALGTHM,0,1,pst_pcm_q0,14,0,pst_file
ALGTHM,0,1,pst_pcm_q0,15,0,pst_file
ALGTHM,0,1,pst_pcm_q0,16,0,pst_file
ALGTHM,0,1,pst_pcm_q0,17,0,pst_file
ALGTHM,0,1,pst_pcm_q0,18,0,pst_file
ALGTHM,0,1,pst_pcm_q0,19,0,pst_file
ALGTHM,0,1,pst_pcm_q0,20,0,pst_file
ALGTHM,0,1,pst_pcm_q0,21,0,pst_file
ALGTHM,0,1,pst_pcm_q0,22,0,pst_file
ALGTHM,0,1,pst_pcm_q0,23,0,pst_file
ALGTHM,0,1,pst_pcm_q0,24,0,pst_file
ALGTHM,0,1,pst_pcm_q0,25,0,pst_file
ALGTHM,0,1,pst_pcm_q0,26,0,pst_file
ALGTHM,0,1,pst_pcm_q0,27,0,pst_file
ALGTHM,0,1,pst_pcm_q0,28,0,pst_file
ALGTHM,0,1,pst_pcm_q0,29,15,pst_file
ALGTHM,0,1,pst_pcm_q0,30,33,pst_file
ALGTHM,0,1,pst_pcm_q0,31,51,pst_file
ALGTHM,0,1,pst_pcm_q0,32,51,pst_file
ALGTHM,0,1,pst_pcm_q0,33,52,pst_file
ALGTHM,0,1,pst_pcm_q0,34,51,pst_file
ALGTHM,0,1,pst_pcm_q0,35,51,pst_file
ALGTHM,0,1,pst_pcm_q0,36,47,pst_file
ALGTHM,0,1,pst_pcm_q0,37,56,pst_file
ALGTHM,0,1,pst_pcm_q0,38,50,pst_file
ALGTHM,0,1,pst_pcm_q0,39,43,pst_file
ALGTHM,0,1,hp_inverse_low_q0,0,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,0,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,1,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,1,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,2,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,2,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,3,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,3,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,4,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,4,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,5,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,5,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,6,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,6,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,7,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,7,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,8,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,8,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,9,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,9,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,10,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,10,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,11,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,11,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,12,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,12,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,13,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,13,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,14,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,14,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,15,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,15,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,16,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,16,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,17,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,17,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,18,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,18,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,19,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,19,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,20,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,20,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,21,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,21,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,22,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,22,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,23,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,23,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,24,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,24,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,25,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,25,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,26,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,26,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,27,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,27,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,28,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,28,0,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,29,7,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,29,8,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,30,16,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,30,17,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,31,25,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,31,26,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,32,25,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,32,26,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,33,26,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,33,26,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,34,25,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,34,26,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,35,25,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,35,26,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,36,23,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,36,24,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,37,28,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,37,28,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,38,25,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,38,25,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_low_q0,39,21,derived_from_pst_x2_inverse
ALGTHM,0,1,hp_inverse_high_q0,39,22,derived_from_pst_x2_inverse
TAME,0,0,fixed_c_q13,0,8192,formula_ok
TAME,0,0,fixed_c_q13,1,8192,formula_ok
TAME,0,0,fixed_c_q13,2,8192,formula_ok
TAME,0,0,fixed_c_q13,3,8192,formula_ok
TAME,0,0,fixed_c_q13,4,0,formula_ok
TAME,0,0,fixed_c_q13,5,0,formula_ok
TAME,0,0,fixed_c_q13,6,0,formula_ok
TAME,0,0,fixed_c_q13,7,0,formula_ok
TAME,0,0,fixed_c_q13,8,0,formula_ok
TAME,0,0,fixed_c_q13,9,0,formula_ok
TAME,0,0,fixed_c_q13,10,0,formula_ok
TAME,0,0,fixed_c_q13,11,0,formula_ok
TAME,0,0,fixed_c_q13,12,0,formula_ok
TAME,0,0,fixed_c_q13,13,0,formula_ok
TAME,0,0,fixed_c_q13,14,0,formula_ok
TAME,0,0,fixed_c_q13,15,0,formula_ok
TAME,0,0,fixed_c_q13,16,0,formula_ok
TAME,0,0,fixed_c_q13,17,0,formula_ok
TAME,0,0,fixed_c_q13,18,0,formula_ok
TAME,0,0,fixed_c_q13,19,0,formula_ok
TAME,0,0,fixed_c_q13,20,6554,formula_ok
TAME,0,0,fixed_c_q13,21,6554,formula_ok
TAME,0,0,fixed_c_q13,22,6554,formula_ok
TAME,0,0,fixed_c_q13,23,6554,formula_ok
TAME,0,0,fixed_c_q13,24,0,formula_ok
TAME,0,0,fixed_c_q13,25,0,formula_ok
TAME,0,0,fixed_c_q13,26,0,formula_ok
