source,frame,sub,field,index,got
OVERFLOW,4,0,bitstream_ga,-1,4
OVERFLOW,4,0,bitstream_gb,-1,11
OVERFLOW,4,0,pitch_t_int,-1,32
OVERFLOW,4,0,pitch_t_frac,-1,0
OVERFLOW,4,0,adaptive_gain_before_q14,-1,16025
OVERFLOW,4,0,pitch_instability_flag_q0,-1,0
OVERFLOW,4,0,adaptive_gain_after_pitch_instability_q14,-1,16025
OVERFLOW,4,0,fixed_gain_q14,-1,1628160
OVERFLOW,4,0,past_exc_rms_x100,-1,26969
OVERFLOW,4,0,past_tail_rms_x100,-1,23253
OVERFLOW,4,0,adaptive_v_rms_x100,-1,21325
OVERFLOW,4,0,pitch_contrib_rms_x100,-1,20853
OVERFLOW,4,0,fixed_contrib_rms_x100,-1,3371
OVERFLOW,4,0,excitation_u_rms_x100,-1,20675
OVERFLOW,4,0,pitch_to_fixed_ratio_x100,-1,619
OVERFLOW,4,0,past_to_fixed_ratio_x100,-1,800
OVERFLOW,5,0,bitstream_ga,-1,4
OVERFLOW,5,0,bitstream_gb,-1,11
OVERFLOW,5,0,pitch_t_int,-1,24
OVERFLOW,5,0,pitch_t_frac,-1,0
OVERFLOW,5,0,adaptive_gain_before_q14,-1,16025
OVERFLOW,5,0,pitch_instability_flag_q0,-1,0
OVERFLOW,5,0,adaptive_gain_after_pitch_instability_q14,-1,16025
OVERFLOW,5,0,fixed_gain_q14,-1,1413376
OVERFLOW,5,0,past_exc_rms_x100,-1,22279
OVERFLOW,5,0,past_tail_rms_x100,-1,18439
OVERFLOW,5,0,adaptive_v_rms_x100,-1,17234
OVERFLOW,5,0,pitch_contrib_rms_x100,-1,16854
OVERFLOW,5,0,fixed_contrib_rms_x100,-1,3312
OVERFLOW,5,0,excitation_u_rms_x100,-1,17076
OVERFLOW,5,0,pitch_to_fixed_ratio_x100,-1,509
OVERFLOW,5,0,past_to_fixed_ratio_x100,-1,673
OVERFLOW,56,1,bitstream_ga,-1,1
OVERFLOW,56,1,bitstream_gb,-1,9
OVERFLOW,56,1,pitch_t_int,-1,24
OVERFLOW,56,1,pitch_t_frac,-1,0
OVERFLOW,56,1,adaptive_gain_before_q14,-1,16683
OVERFLOW,56,1,pitch_instability_flag_q0,-1,0
OVERFLOW,56,1,adaptive_gain_after_pitch_instability_q14,-1,16683
OVERFLOW,56,1,fixed_gain_q14,-1,754112
OVERFLOW,56,1,past_exc_rms_x100,-1,22339
OVERFLOW,56,1,past_tail_rms_x100,-1,23334
OVERFLOW,56,1,adaptive_v_rms_x100,-1,22918
OVERFLOW,56,1,pitch_contrib_rms_x100,-1,23338
OVERFLOW,56,1,fixed_contrib_rms_x100,-1,1867
OVERFLOW,56,1,excitation_u_rms_x100,-1,23631
OVERFLOW,56,1,pitch_to_fixed_ratio_x100,-1,1250
OVERFLOW,56,1,past_to_fixed_ratio_x100,-1,1197
OVERFLOW,57,0,bitstream_ga,-1,7
OVERFLOW,57,0,bitstream_gb,-1,3
OVERFLOW,57,0,pitch_t_int,-1,24
OVERFLOW,57,0,pitch_t_frac,-1,0
OVERFLOW,57,0,adaptive_gain_before_q14,-1,16169
OVERFLOW,57,0,pitch_instability_flag_q0,-1,0
OVERFLOW,57,0,adaptive_gain_after_pitch_instability_q14,-1,16169
OVERFLOW,57,0,fixed_gain_q14,-1,917056
OVERFLOW,57,0,past_exc_rms_x100,-1,22909
OVERFLOW,57,0,past_tail_rms_x100,-1,23631
OVERFLOW,57,0,adaptive_v_rms_x100,-1,23910
OVERFLOW,57,0,pitch_contrib_rms_x100,-1,23595
OVERFLOW,57,0,fixed_contrib_rms_x100,-1,2272
OVERFLOW,57,0,excitation_u_rms_x100,-1,24073
OVERFLOW,57,0,pitch_to_fixed_ratio_x100,-1,1039
OVERFLOW,57,0,past_to_fixed_ratio_x100,-1,1008
OVERFLOW,57,1,bitstream_ga,-1,4
OVERFLOW,57,1,bitstream_gb,-1,9
OVERFLOW,57,1,pitch_t_int,-1,24
OVERFLOW,57,1,pitch_t_frac,-1,0
OVERFLOW,57,1,adaptive_gain_before_q14,-1,16963
OVERFLOW,57,1,pitch_instability_flag_q0,-1,0
OVERFLOW,57,1,adaptive_gain_after_pitch_instability_q14,-1,16963
OVERFLOW,57,1,fixed_gain_q14,-1,1243584
OVERFLOW,57,1,past_exc_rms_x100,-1,23475
OVERFLOW,57,1,past_tail_rms_x100,-1,24073
OVERFLOW,57,1,adaptive_v_rms_x100,-1,23548
OVERFLOW,57,1,pitch_contrib_rms_x100,-1,24384
OVERFLOW,57,1,fixed_contrib_rms_x100,-1,3082
OVERFLOW,57,1,excitation_u_rms_x100,-1,25185
OVERFLOW,57,1,pitch_to_fixed_ratio_x100,-1,791
OVERFLOW,57,1,past_to_fixed_ratio_x100,-1,762
OVERFLOW,58,0,bitstream_ga,-1,7
OVERFLOW,58,0,bitstream_gb,-1,3
OVERFLOW,58,0,pitch_t_int,-1,24
OVERFLOW,58,0,pitch_t_frac,-1,0
OVERFLOW,58,0,adaptive_gain_before_q14,-1,16169
OVERFLOW,58,0,pitch_instability_flag_q0,-1,0
OVERFLOW,58,0,adaptive_gain_after_pitch_instability_q14,-1,16169
OVERFLOW,58,0,fixed_gain_q14,-1,1539200
OVERFLOW,58,0,past_exc_rms_x100,-1,24088
OVERFLOW,58,0,past_tail_rms_x100,-1,25185
OVERFLOW,58,0,adaptive_v_rms_x100,-1,24608
OVERFLOW,58,0,pitch_contrib_rms_x100,-1,24292
OVERFLOW,58,0,fixed_contrib_rms_x100,-1,3803
OVERFLOW,58,0,excitation_u_rms_x100,-1,25629
OVERFLOW,58,0,pitch_to_fixed_ratio_x100,-1,639
OVERFLOW,58,0,past_to_fixed_ratio_x100,-1,633
OVERFLOW,59,0,bitstream_ga,-1,7
OVERFLOW,59,0,bitstream_gb,-1,1
OVERFLOW,59,0,pitch_t_int,-1,24
OVERFLOW,59,0,pitch_t_frac,-1,0
OVERFLOW,59,0,adaptive_gain_before_q14,-1,17356
OVERFLOW,59,0,pitch_instability_flag_q0,-1,0
OVERFLOW,59,0,adaptive_gain_after_pitch_instability_q14,-1,17356
OVERFLOW,59,0,fixed_gain_q14,-1,1412416
OVERFLOW,59,0,past_exc_rms_x100,-1,25415
OVERFLOW,59,0,past_tail_rms_x100,-1,26909
OVERFLOW,59,0,adaptive_v_rms_x100,-1,26046
OVERFLOW,59,0,pitch_contrib_rms_x100,-1,27592
OVERFLOW,59,0,fixed_contrib_rms_x100,-1,3312
OVERFLOW,59,0,excitation_u_rms_x100,-1,26448
OVERFLOW,59,0,pitch_to_fixed_ratio_x100,-1,833
OVERFLOW,59,0,past_to_fixed_ratio_x100,-1,767
OVERFLOW,60,1,bitstream_ga,-1,1
OVERFLOW,60,1,bitstream_gb,-1,7
OVERFLOW,60,1,pitch_t_int,-1,24
OVERFLOW,60,1,pitch_t_frac,-1,0
OVERFLOW,60,1,adaptive_gain_before_q14,-1,16985
OVERFLOW,60,1,pitch_instability_flag_q0,-1,0
OVERFLOW,60,1,adaptive_gain_after_pitch_instability_q14,-1,16985
OVERFLOW,60,1,fixed_gain_q14,-1,626464
OVERFLOW,60,1,past_exc_rms_x100,-1,25619
OVERFLOW,60,1,past_tail_rms_x100,-1,24895
OVERFLOW,60,1,adaptive_v_rms_x100,-1,24447
OVERFLOW,60,1,pitch_contrib_rms_x100,-1,25341
OVERFLOW,60,1,fixed_contrib_rms_x100,-1,1471
OVERFLOW,60,1,excitation_u_rms_x100,-1,26180
OVERFLOW,60,1,pitch_to_fixed_ratio_x100,-1,1722
OVERFLOW,60,1,past_to_fixed_ratio_x100,-1,1741
OVERFLOW,61,0,bitstream_ga,-1,1
OVERFLOW,61,0,bitstream_gb,-1,9
OVERFLOW,61,0,pitch_t_int,-1,24
OVERFLOW,61,0,pitch_t_frac,-1,0
OVERFLOW,61,0,adaptive_gain_before_q14,-1,16683
OVERFLOW,61,0,pitch_instability_flag_q0,-1,0
OVERFLOW,61,0,adaptive_gain_after_pitch_instability_q14,-1,16683
OVERFLOW,61,0,fixed_gain_q14,-1,674432
OVERFLOW,61,0,past_exc_rms_x100,-1,25536
OVERFLOW,61,0,past_tail_rms_x100,-1,26180
OVERFLOW,61,0,adaptive_v_rms_x100,-1,25966
OVERFLOW,61,0,pitch_contrib_rms_x100,-1,26440
OVERFLOW,61,0,fixed_contrib_rms_x100,-1,1580
OVERFLOW,61,0,excitation_u_rms_x100,-1,26399
OVERFLOW,61,0,pitch_to_fixed_ratio_x100,-1,1673
OVERFLOW,61,0,past_to_fixed_ratio_x100,-1,1616
OVERFLOW,61,1,bitstream_ga,-1,1
OVERFLOW,61,1,bitstream_gb,-1,9
OVERFLOW,61,1,pitch_t_int,-1,24
OVERFLOW,61,1,pitch_t_frac,-1,0
OVERFLOW,61,1,adaptive_gain_before_q14,-1,16683
OVERFLOW,61,1,pitch_instability_flag_q0,-1,0
OVERFLOW,61,1,adaptive_gain_after_pitch_instability_q14,-1,16683
OVERFLOW,61,1,fixed_gain_q14,-1,653312
OVERFLOW,61,1,past_exc_rms_x100,-1,25508
OVERFLOW,61,1,past_tail_rms_x100,-1,26399
OVERFLOW,61,1,adaptive_v_rms_x100,-1,26276
OVERFLOW,61,1,pitch_contrib_rms_x100,-1,26751
OVERFLOW,61,1,fixed_contrib_rms_x100,-1,1539
OVERFLOW,61,1,excitation_u_rms_x100,-1,26901
OVERFLOW,61,1,pitch_to_fixed_ratio_x100,-1,1738
