table,row,col,expected
CosLSP,0,-1,
CosLSP,1,-1,
CosLSP,2,-1,
CosLSP,3,-1,
CosLSP,4,-1,
CosLSP,5,-1,
CosLSP,6,-1,
CosLSP,7,-1,
CosLSP,8,-1,
CosLSP,9,-1,
CosLSP,10,-1,
CosLSP,11,-1,
CosLSP,12,-1,
CosLSP,13,-1,
CosLSP,14,-1,
CosLSP,15,-1,
CosLSP,16,-1,
CosLSP,17,-1,
CosLSP,18,-1,
CosLSP,19,-1,
CosLSP,20,-1,
CosLSP,21,-1,
CosLSP,22,-1,
CosLSP,23,-1,
CosLSP,24,-1,
CosLSP,25,-1,
CosLSP,26,-1,
CosLSP,27,-1,
CosLSP,28,-1,
CosLSP,29,-1,
CosLSP,30,-1,
CosLSP,31,-1,
CosLSP,32,-1,
CosLSP,33,-1,
CosLSP,34,-1,
CosLSP,35,-1,
CosLSP,36,-1,
CosLSP,37,-1,
CosLSP,38,-1,
CosLSP,39,-1,
CosLSP,40,-1,
CosLSP,41,-1,
CosLSP,42,-1,
CosLSP,43,-1,
CosLSP,44,-1,
CosLSP,45,-1,
CosLSP,46,-1,
CosLSP,47,-1,
CosLSP,48,-1,
CosLSP,49,-1,
CosLSP,50,-1,
CosLSP,51,-1,
CosLSP,52,-1,
CosLSP,53,-1,
CosLSP,54,-1,
CosLSP,55,-1,
CosLSP,56,-1,
CosLSP,57,-1,
CosLSP,58,-1,
CosLSP,59,-1,
CosLSP,60,-1,
CosLSP,61,-1,
CosLSP,62,-1,
CosLSP,63,-1,
CosLSP,64,-1,
PitchInterpFIR,0,-1,
PitchInterpFIR,1,-1,
PitchInterpFIR,2,-1,
PitchInterpFIR,3,-1,
PitchInterpFIR,4,-1,
PitchInterpFIR,5,-1,
PitchInterpFIR,6,-1,
PitchInterpFIR,7,-1,
PitchInterpFIR,8,-1,
PitchInterpFIR,9,-1,
PitchInterpFIR,10,-1,
PitchInterpFIR,11,-1,
PitchInterpFIR,12,-1,
PitchInterpFIR,13,-1,
PitchInterpFIR,14,-1,
PitchInterpFIR,15,-1,
PitchInterpFIR,16,-1,
PitchInterpFIR,17,-1,
PitchInterpFIR,18,-1,
PitchInterpFIR,19,-1,
PitchInterpFIR,20,-1,
PitchInterpFIR,21,-1,
PitchInterpFIR,22,-1,
PitchInterpFIR,23,-1,
PitchInterpFIR,24,-1,
PitchInterpFIR,25,-1,
PitchInterpFIR,26,-1,
PitchInterpFIR,27,-1,
PitchInterpFIR,28,-1,
PitchInterpFIR,29,-1,
PitchInterpFIR,30,-1,
Pow2Table,0,-1,
Pow2Table,1,-1,
Pow2Table,2,-1,
Pow2Table,3,-1,
Pow2Table,4,-1,
Pow2Table,5,-1,
Pow2Table,6,-1,
Pow2Table,7,-1,
Pow2Table,8,-1,
Pow2Table,9,-1,
Pow2Table,10,-1,
Pow2Table,11,-1,
Pow2Table,12,-1,
Pow2Table,13,-1,
Pow2Table,14,-1,
Pow2Table,15,-1,
Pow2Table,16,-1,
Pow2Table,17,-1,
Pow2Table,18,-1,
Pow2Table,19,-1,
Pow2Table,20,-1,
Pow2Table,21,-1,
Pow2Table,22,-1,
Pow2Table,23,-1,
Pow2Table,24,-1,
Pow2Table,25,-1,
Pow2Table,26,-1,
Pow2Table,27,-1,
Pow2Table,28,-1,
Pow2Table,29,-1,
Pow2Table,30,-1,
Pow2Table,31,-1,
Pow2Table,32,-1,
Log2Table,0,-1,
Log2Table,1,-1,
Log2Table,2,-1,
Log2Table,3,-1,
Log2Table,4,-1,
