source,frame,sub,field,index,expected,note
TAME,26,0,adaptive_v_q0,0,,blank_unavailable
TAME,26,0,adaptive_v_q0,1,,blank_unavailable
TAME,26,0,adaptive_v_q0,2,,blank_unavailable
TAME,26,0,adaptive_v_q0,3,,blank_unavailable
TAME,26,0,adaptive_v_q0,4,,blank_unavailable
TAME,26,0,adaptive_v_q0,5,,blank_unavailable
TAME,26,0,adaptive_v_q0,6,,blank_unavailable
TAME,26,0,adaptive_v_q0,7,,blank_unavailable
TAME,26,0,adaptive_v_q0,8,,blank_unavailable
TAME,26,0,adaptive_v_q0,9,,blank_unavailable
TAME,26,0,adaptive_v_q0,10,,blank_unavailable
TAME,26,0,adaptive_v_q0,11,,blank_unavailable
TAME,26,0,adaptive_v_q0,12,,blank_unavailable
TAME,26,0,adaptive_v_q0,13,,blank_unavailable
TAME,26,0,adaptive_v_q0,14,,blank_unavailable
TAME,26,0,adaptive_v_q0,15,,blank_unavailable
TAME,26,0,adaptive_v_q0,16,,blank_unavailable
TAME,26,0,adaptive_v_q0,17,,blank_unavailable
TAME,26,0,adaptive_v_q0,18,,blank_unavailable
TAME,26,0,adaptive_v_q0,19,,blank_unavailable
TAME,26,0,adaptive_v_q0,20,,blank_unavailable
TAME,26,0,adaptive_v_q0,21,,blank_unavailable
TAME,26,0,adaptive_v_q0,22,,blank_unavailable
TAME,26,0,adaptive_v_q0,23,,blank_unavailable
TAME,26,0,adaptive_v_q0,24,,blank_unavailable
TAME,26,0,adaptive_v_q0,25,,blank_unavailable
TAME,26,0,adaptive_v_q0,26,,blank_unavailable
TAME,26,0,adaptive_v_q0,27,,blank_unavailable
TAME,26,0,adaptive_v_q0,28,,blank_unavailable
TAME,26,0,adaptive_v_q0,29,,blank_unavailable
TAME,26,0,adaptive_v_q0,30,,blank_unavailable
TAME,26,0,adaptive_v_q0,31,,blank_unavailable
TAME,26,0,adaptive_v_q0,32,,blank_unavailable
TAME,26,0,adaptive_v_q0,33,,blank_unavailable
TAME,26,0,adaptive_v_q0,34,,blank_unavailable
TAME,26,0,adaptive_v_q0,35,,blank_unavailable
TAME,26,0,adaptive_v_q0,36,,blank_unavailable
TAME,26,0,adaptive_v_q0,37,,blank_unavailable
TAME,26,0,adaptive_v_q0,38,,blank_unavailable
TAME,26,0,adaptive_v_q0,39,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,0,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,1,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,2,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,3,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,4,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,5,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,6,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,7,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,8,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,9,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,10,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,11,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,12,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,13,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,14,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,15,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,16,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,17,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,18,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,19,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,20,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,21,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,22,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,23,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,24,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,25,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,26,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,27,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,28,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,29,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,30,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,31,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,32,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,33,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,34,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,35,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,36,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,37,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,38,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,39,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,40,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,41,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,42,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,43,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,44,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,45,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,46,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,47,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,48,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,49,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,50,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,51,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,52,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,53,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,54,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,55,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,56,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,57,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,58,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,59,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,60,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,61,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,62,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,63,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,64,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,65,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,66,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,67,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,68,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,69,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,70,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,71,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,72,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,73,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,74,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,75,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,76,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,77,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,78,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,79,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,80,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,81,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,82,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,83,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,84,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,85,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,86,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,87,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,88,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,89,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,90,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,91,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,92,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,93,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,94,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,95,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,96,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,97,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,98,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,99,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,100,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,101,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,102,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,103,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,104,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,105,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,106,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,107,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,108,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,109,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,110,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,111,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,112,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,113,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,114,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,115,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,116,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,117,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,118,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,119,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,120,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,121,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,122,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,123,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,124,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,125,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,126,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,127,,blank_unavailable
TAME,26,0,past_exc_pre_acb_q0,128,,blank_unavailable
