source,frame,sub,field,index,expected
TAME,0,0,excitation_u_q0,0,
TAME,0,0,excitation_u_q0,1,
TAME,0,0,excitation_u_q0,2,
TAME,0,0,excitation_u_q0,3,
TAME,0,0,excitation_u_q0,4,
TAME,0,0,excitation_u_q0,5,
TAME,0,0,excitation_u_q0,6,
TAME,0,0,excitation_u_q0,7,
TAME,0,0,excitation_u_q0,8,
TAME,0,0,excitation_u_q0,9,
TAME,0,0,excitation_u_q0,10,
TAME,0,0,excitation_u_q0,11,
TAME,0,0,excitation_u_q0,12,
TAME,0,0,excitation_u_q0,13,
TAME,0,0,excitation_u_q0,14,
TAME,0,0,excitation_u_q0,15,
TAME,0,0,excitation_u_q0,16,
TAME,0,0,excitation_u_q0,17,
TAME,0,0,excitation_u_q0,18,
TAME,0,0,excitation_u_q0,19,
TAME,0,0,excitation_u_q0,20,
TAME,0,0,excitation_u_q0,21,
TAME,0,0,excitation_u_q0,22,
TAME,0,0,excitation_u_q0,23,
TAME,0,0,excitation_u_q0,24,
TAME,0,0,excitation_u_q0,25,
TAME,0,0,excitation_u_q0,26,
TAME,0,0,excitation_u_q0,27,
TAME,0,0,excitation_u_q0,28,
TAME,0,0,excitation_u_q0,29,
TAME,0,0,excitation_u_q0,30,
TAME,0,0,excitation_u_q0,31,
TAME,0,0,excitation_u_q0,32,
TAME,0,0,excitation_u_q0,33,
TAME,0,0,excitation_u_q0,34,
TAME,0,0,excitation_u_q0,35,
TAME,0,0,excitation_u_q0,36,
TAME,0,0,excitation_u_q0,37,
TAME,0,0,excitation_u_q0,38,
TAME,0,0,excitation_u_q0,39,
TAME,0,1,excitation_u_q0,0,
TAME,0,1,excitation_u_q0,1,
TAME,0,1,excitation_u_q0,2,
TAME,0,1,excitation_u_q0,3,
TAME,0,1,excitation_u_q0,4,
TAME,0,1,excitation_u_q0,5,
TAME,0,1,excitation_u_q0,6,
TAME,0,1,excitation_u_q0,7,
TAME,0,1,excitation_u_q0,8,
TAME,0,1,excitation_u_q0,9,
TAME,0,1,excitation_u_q0,10,
TAME,0,1,excitation_u_q0,11,
TAME,0,1,excitation_u_q0,12,
TAME,0,1,excitation_u_q0,13,
TAME,0,1,excitation_u_q0,14,
TAME,0,1,excitation_u_q0,15,
TAME,0,1,excitation_u_q0,16,
TAME,0,1,excitation_u_q0,17,
TAME,0,1,excitation_u_q0,18,
TAME,0,1,excitation_u_q0,19,
TAME,0,1,excitation_u_q0,20,
TAME,0,1,excitation_u_q0,21,
TAME,0,1,excitation_u_q0,22,
TAME,0,1,excitation_u_q0,23,
TAME,0,1,excitation_u_q0,24,
TAME,0,1,excitation_u_q0,25,
TAME,0,1,excitation_u_q0,26,
TAME,0,1,excitation_u_q0,27,
TAME,0,1,excitation_u_q0,28,
TAME,0,1,excitation_u_q0,29,
TAME,0,1,excitation_u_q0,30,
TAME,0,1,excitation_u_q0,31,
TAME,0,1,excitation_u_q0,32,
TAME,0,1,excitation_u_q0,33,
TAME,0,1,excitation_u_q0,34,
TAME,0,1,excitation_u_q0,35,
TAME,0,1,excitation_u_q0,36,
TAME,0,1,excitation_u_q0,37,
TAME,0,1,excitation_u_q0,38,
TAME,0,1,excitation_u_q0,39,
TAME,1,0,excitation_u_q0,0,
TAME,1,0,excitation_u_q0,1,
