field,frame,tap,L0,L1,L2,L3,col,got
predictor_memory,0,0,-1,-1,-1,-1,0,2340
predictor_memory,0,0,-1,-1,-1,-1,1,4679
predictor_memory,0,0,-1,-1,-1,-1,2,7019
predictor_memory,0,0,-1,-1,-1,-1,3,9359
predictor_memory,0,0,-1,-1,-1,-1,4,11698
predictor_memory,0,0,-1,-1,-1,-1,5,14038
predictor_memory,0,0,-1,-1,-1,-1,6,16377
predictor_memory,0,0,-1,-1,-1,-1,7,18717
predictor_memory,0,0,-1,-1,-1,-1,8,21057
predictor_memory,0,0,-1,-1,-1,-1,9,23396
predictor_memory,0,1,-1,-1,-1,-1,0,2340
predictor_memory,0,1,-1,-1,-1,-1,1,4679
predictor_memory,0,1,-1,-1,-1,-1,2,7019
predictor_memory,0,1,-1,-1,-1,-1,3,9359
predictor_memory,0,1,-1,-1,-1,-1,4,11698
predictor_memory,0,1,-1,-1,-1,-1,5,14038
predictor_memory,0,1,-1,-1,-1,-1,6,16377
predictor_memory,0,1,-1,-1,-1,-1,7,18717
predictor_memory,0,1,-1,-1,-1,-1,8,21057
predictor_memory,0,1,-1,-1,-1,-1,9,23396
predictor_memory,0,2,-1,-1,-1,-1,0,2340
predictor_memory,0,2,-1,-1,-1,-1,1,4679
predictor_memory,0,2,-1,-1,-1,-1,2,7019
predictor_memory,0,2,-1,-1,-1,-1,3,9359
predictor_memory,0,2,-1,-1,-1,-1,4,11698
predictor_memory,0,2,-1,-1,-1,-1,5,14038
predictor_memory,0,2,-1,-1,-1,-1,6,16377
predictor_memory,0,2,-1,-1,-1,-1,7,18717
predictor_memory,0,2,-1,-1,-1,-1,8,21057
predictor_memory,0,2,-1,-1,-1,-1,9,23396
predictor_memory,0,3,-1,-1,-1,-1,0,2340
predictor_memory,0,3,-1,-1,-1,-1,1,4679
predictor_memory,0,3,-1,-1,-1,-1,2,7019
predictor_memory,0,3,-1,-1,-1,-1,3,9359
predictor_memory,0,3,-1,-1,-1,-1,4,11698
predictor_memory,0,3,-1,-1,-1,-1,5,14038
predictor_memory,0,3,-1,-1,-1,-1,6,16377
predictor_memory,0,3,-1,-1,-1,-1,7,18717
predictor_memory,0,3,-1,-1,-1,-1,8,21057
predictor_memory,0,3,-1,-1,-1,-1,9,23396
omega_lsf,0,-1,-1,-1,-1,-1,0,2333
omega_lsf,0,-1,-1,-1,-1,-1,1,4674
omega_lsf,0,-1,-1,-1,-1,-1,2,7014
omega_lsf,0,-1,-1,-1,-1,-1,3,9354
omega_lsf,0,-1,-1,-1,-1,-1,4,11695
omega_lsf,0,-1,-1,-1,-1,-1,5,14033
omega_lsf,0,-1,-1,-1,-1,-1,6,16374
omega_lsf,0,-1,-1,-1,-1,-1,7,18713
omega_lsf,0,-1,-1,-1,-1,-1,8,21054
omega_lsf,0,-1,-1,-1,-1,-1,9,23394
weight_lsf,0,-1,-1,-1,-1,-1,0,501
weight_lsf,0,-1,-1,-1,-1,-1,1,721
weight_lsf,0,-1,-1,-1,-1,-1,2,721
weight_lsf,0,-1,-1,-1,-1,-1,3,721
weight_lsf,0,-1,-1,-1,-1,-1,4,865
weight_lsf,0,-1,-1,-1,-1,-1,5,865
weight_lsf,0,-1,-1,-1,-1,-1,6,721
weight_lsf,0,-1,-1,-1,-1,-1,7,721
weight_lsf,0,-1,-1,-1,-1,-1,8,721
weight_lsf,0,-1,-1,-1,-1,-1,9,364
target_lsf,0,-1,0,-1,-1,-1,0,2310
target_lsf,0,-1,0,-1,-1,-1,1,4658
target_lsf,0,-1,0,-1,-1,-1,2,7000
target_lsf,0,-1,0,-1,-1,-1,3,9339
target_lsf,0,-1,0,-1,-1,-1,4,11688
target_lsf,0,-1,0,-1,-1,-1,5,14020
target_lsf,0,-1,0,-1,-1,-1,6,16366
target_lsf,0,-1,0,-1,-1,-1,7,18703
target_lsf,0,-1,0,-1,-1,-1,8,21047
target_lsf,0,-1,0,-1,-1,-1,9,23389
target_lsf,0,-1,1,-1,-1,-1,0,2325
target_lsf,0,-1,1,-1,-1,-1,1,4670
target_lsf,0,-1,1,-1,-1,-1,2,7011
target_lsf,0,-1,1,-1,-1,-1,3,9349
target_lsf,0,-1,1,-1,-1,-1,4,11692
target_lsf,0,-1,1,-1,-1,-1,5,14028
target_lsf,0,-1,1,-1,-1,-1,6,16372
target_lsf,0,-1,1,-1,-1,-1,7,18708
target_lsf,0,-1,1,-1,-1,-1,8,21052
target_lsf,0,-1,1,-1,-1,-1,9,23392
encoder_index,0,-1,-1,-1,-1,-1,0,0
encoder_index,0,-1,-1,-1,-1,-1,1,120
encoder_index,0,-1,-1,-1,-1,-1,2,2
encoder_index,0,-1,-1,-1,-1,-1,3,11
bitstream_index,0,-1,-1,-1,-1,-1,0,0
bitstream_index,0,-1,-1,-1,-1,-1,1,120
bitstream_index,0,-1,-1,-1,-1,-1,2,10
bitstream_index,0,-1,-1,-1,-1,-1,3,10
encoder_tuple_cost,0,-1,0,120,2,11,-1,102190622
bitstream_tuple_cost,0,-1,0,120,10,10,-1,116891995
encoder_tuple_rank,0,-1,0,120,2,11,-1,1
bitstream_tuple_rank,0,-1,0,120,10,10,-1,9
predictor_memory,1,0,-1,-1,-1,-1,0,1710
predictor_memory,1,0,-1,-1,-1,-1,1,4901
predictor_memory,1,0,-1,-1,-1,-1,2,6757
predictor_memory,1,0,-1,-1,-1,-1,3,9522
predictor_memory,1,0,-1,-1,-1,-1,4,11126
predictor_memory,1,0,-1,-1,-1,-1,5,14185
predictor_memory,1,0,-1,-1,-1,-1,6,16409
