field,frame,selector,tap,L1,L2,L3,col,got
initial_memory,0,-1,0,-1,-1,-1,0,2340
initial_memory,0,-1,0,-1,-1,-1,1,4679
initial_memory,0,-1,0,-1,-1,-1,2,7019
initial_memory,0,-1,0,-1,-1,-1,3,9359
initial_memory,0,-1,0,-1,-1,-1,4,11698
initial_memory,0,-1,0,-1,-1,-1,5,14038
initial_memory,0,-1,0,-1,-1,-1,6,16377
initial_memory,0,-1,0,-1,-1,-1,7,18717
initial_memory,0,-1,0,-1,-1,-1,8,21057
initial_memory,0,-1,0,-1,-1,-1,9,23396
initial_memory,0,-1,1,-1,-1,-1,0,2340
initial_memory,0,-1,1,-1,-1,-1,1,4679
initial_memory,0,-1,1,-1,-1,-1,2,7019
initial_memory,0,-1,1,-1,-1,-1,3,9359
initial_memory,0,-1,1,-1,-1,-1,4,11698
initial_memory,0,-1,1,-1,-1,-1,5,14038
initial_memory,0,-1,1,-1,-1,-1,6,16377
initial_memory,0,-1,1,-1,-1,-1,7,18717
initial_memory,0,-1,1,-1,-1,-1,8,21057
initial_memory,0,-1,1,-1,-1,-1,9,23396
initial_memory,0,-1,2,-1,-1,-1,0,2340
initial_memory,0,-1,2,-1,-1,-1,1,4679
initial_memory,0,-1,2,-1,-1,-1,2,7019
initial_memory,0,-1,2,-1,-1,-1,3,9359
initial_memory,0,-1,2,-1,-1,-1,4,11698
initial_memory,0,-1,2,-1,-1,-1,5,14038
initial_memory,0,-1,2,-1,-1,-1,6,16377
initial_memory,0,-1,2,-1,-1,-1,7,18717
initial_memory,0,-1,2,-1,-1,-1,8,21057
initial_memory,0,-1,2,-1,-1,-1,9,23396
initial_memory,0,-1,3,-1,-1,-1,0,2340
initial_memory,0,-1,3,-1,-1,-1,1,4679
initial_memory,0,-1,3,-1,-1,-1,2,7019
initial_memory,0,-1,3,-1,-1,-1,3,9359
initial_memory,0,-1,3,-1,-1,-1,4,11698
initial_memory,0,-1,3,-1,-1,-1,5,14038
initial_memory,0,-1,3,-1,-1,-1,6,16377
initial_memory,0,-1,3,-1,-1,-1,7,18717
initial_memory,0,-1,3,-1,-1,-1,8,21057
initial_memory,0,-1,3,-1,-1,-1,9,23396
target_lsf,0,0,-1,-1,-1,-1,0,2310
target_lsf,0,0,-1,-1,-1,-1,1,4658
target_lsf,0,0,-1,-1,-1,-1,2,7000
target_lsf,0,0,-1,-1,-1,-1,3,9339
target_lsf,0,0,-1,-1,-1,-1,4,11688
target_lsf,0,0,-1,-1,-1,-1,5,14020
target_lsf,0,0,-1,-1,-1,-1,6,16366
target_lsf,0,0,-1,-1,-1,-1,7,18703
target_lsf,0,0,-1,-1,-1,-1,8,21047
target_lsf,0,0,-1,-1,-1,-1,9,23389
target_lsf,0,1,-1,-1,-1,-1,0,2325
target_lsf,0,1,-1,-1,-1,-1,1,4670
target_lsf,0,1,-1,-1,-1,-1,2,7011
target_lsf,0,1,-1,-1,-1,-1,3,9349
target_lsf,0,1,-1,-1,-1,-1,4,11692
target_lsf,0,1,-1,-1,-1,-1,5,14028
target_lsf,0,1,-1,-1,-1,-1,6,16372
target_lsf,0,1,-1,-1,-1,-1,7,18708
target_lsf,0,1,-1,-1,-1,-1,8,21052
target_lsf,0,1,-1,-1,-1,-1,9,23392
selected_index,0,-1,-1,-1,-1,-1,0,0
selected_index,0,-1,-1,-1,-1,-1,1,120
selected_index,0,-1,-1,-1,-1,-1,2,2
selected_index,0,-1,-1,-1,-1,-1,3,11
reference_index,0,-1,-1,-1,-1,-1,0,0
reference_index,0,-1,-1,-1,-1,-1,1,120
reference_index,0,-1,-1,-1,-1,-1,2,10
reference_index,0,-1,-1,-1,-1,-1,3,10
l1_rank,0,0,-1,120,-1,-1,-1,1
l1_cost,0,0,-1,120,-1,-1,-1,1792945
l23_pair_rank,0,0,-1,120,10,10,-1,8
l23_pair_cost,0,0,-1,120,10,10,-1,116891995
l23_pair_cost,0,0,-1,120,2,11,-1,102190622
full_tuple_cost,0,0,-1,120,2,11,-1,102190622
full_tuple_cost,0,0,-1,120,10,10,-1,116891995
full_tuple_rank,0,0,-1,120,10,10,-1,9
