frame,selector,L1,L2,L3,ref_selector,ref_L1,ref_L2,ref_L3,col,got
0,0,120,2,11,0,120,10,10,0,1710
0,0,120,2,11,0,120,10,10,1,4901
0,0,120,2,11,0,120,10,10,2,6757
0,0,120,2,11,0,120,10,10,3,9522
0,0,120,2,11,0,120,10,10,4,11126
0,0,120,2,11,0,120,10,10,5,14185
0,0,120,2,11,0,120,10,10,6,16409
0,0,120,2,11,0,120,10,10,7,18689
0,0,120,2,11,0,120,10,10,8,21797
0,0,120,2,11,0,120,10,10,9,24583
1,0,120,14,20,0,120,7,9,0,3306
1,0,120,14,20,0,120,7,9,1,4660
1,0,120,14,20,0,120,7,9,2,6595
1,0,120,14,20,0,120,7,9,3,9002
1,0,120,14,20,0,120,7,9,4,12447
1,0,120,14,20,0,120,7,9,5,14104
1,0,120,14,20,0,120,7,9,6,15872
1,0,120,14,20,0,120,7,9,7,18290
1,0,120,14,20,0,120,7,9,8,20200
1,0,120,14,20,0,120,7,9,9,21456
2,0,120,7,11,0,120,31,10,0,2622
2,0,120,7,11,0,120,31,10,1,3862
2,0,120,7,11,0,120,31,10,2,7294
2,0,120,7,11,0,120,31,10,3,9278
2,0,120,7,11,0,120,31,10,4,11259
2,0,120,7,11,0,120,31,10,5,14185
2,0,120,7,11,0,120,31,10,6,16409
2,0,120,7,11,0,120,31,10,7,18689
2,0,120,7,11,0,120,31,10,8,21797
2,0,120,7,11,0,120,31,10,9,24583
3,0,120,8,13,0,120,5,0,0,1872
3,0,120,8,13,0,120,5,0,1,5906
3,0,120,8,13,0,120,5,0,2,7613
3,0,120,8,13,0,120,5,0,3,10055
3,0,120,8,13,0,120,5,0,4,12060
3,0,120,8,13,0,120,5,0,5,14006
3,0,120,8,13,0,120,5,0,6,16860
3,0,120,8,13,0,120,5,0,7,19706
3,0,120,8,13,0,120,5,0,8,20528
3,0,120,8,13,0,120,5,0,9,24048
4,0,120,9,26,0,120,2,27,0,1854
4,0,120,9,26,0,120,2,27,1,3716
4,0,120,9,26,0,120,2,27,2,5815
4,0,120,9,26,0,120,2,27,3,8902
4,0,120,9,26,0,120,2,27,4,11558
4,0,120,9,26,0,120,2,27,5,14316
4,0,120,9,26,0,120,2,27,6,15838
4,0,120,9,26,0,120,2,27,7,17902
4,0,120,9,26,0,120,2,27,8,21456
4,0,120,9,26,0,120,2,27,9,22657
5,1,5,14,23,1,5,14,20,0,2355
5,1,5,14,23,1,5,14,20,1,2365
5,1,5,14,23,1,5,14,20,2,2904
5,1,5,14,23,1,5,14,20,3,4322
5,1,5,14,23,1,5,14,20,4,7896
5,1,5,14,23,1,5,14,20,5,12051
5,1,5,14,23,1,5,14,20,6,18297
5,1,5,14,23,1,5,14,20,7,18912
5,1,5,14,23,1,5,14,20,8,21131
5,1,5,14,23,1,5,14,20,9,21200
6,0,29,0,23,0,98,15,24,0,1232
6,0,29,0,23,0,98,15,24,1,1797
6,0,29,0,23,0,98,15,24,2,2792
6,0,29,0,23,0,98,15,24,3,6270
6,0,29,0,23,0,98,15,24,4,9995
6,0,29,0,23,0,98,15,24,5,10784
6,0,29,0,23,0,98,15,24,6,13563
6,0,29,0,23,0,98,15,24,7,16722
6,0,29,0,23,0,98,15,24,8,18334
6,0,29,0,23,0,98,15,24,9,18938
7,1,96,30,1,0,20,13,13,0,2668
7,1,96,30,1,0,20,13,13,1,3472
7,1,96,30,1,0,20,13,13,2,5428
7,1,96,30,1,0,20,13,13,3,8209
7,1,96,30,1,0,20,13,13,4,10961
7,1,96,30,1,0,20,13,13,5,14281
7,1,96,30,1,0,20,13,13,6,16327
7,1,96,30,1,0,20,13,13,7,18088
7,1,96,30,1,0,20,13,13,8,21997
7,1,96,30,1,0,20,13,13,9,23247
8,1,120,15,13,1,120,8,11,0,2876
8,1,120,15,13,1,120,8,11,1,4385
8,1,120,15,13,1,120,8,11,2,5783
8,1,120,15,13,1,120,8,11,3,8803
8,1,120,15,13,1,120,8,11,4,11382
8,1,120,15,13,1,120,8,11,5,14006
8,1,120,15,13,1,120,8,11,6,16860
8,1,120,15,13,1,120,8,11,7,19706
8,1,120,15,13,1,120,8,11,8,20528
8,1,120,15,13,1,120,8,11,9,24048
9,1,120,8,11,1,120,10,13,0,1872
9,1,120,8,11,1,120,10,13,1,5906
9,1,120,8,11,1,120,10,13,2,7613
9,1,120,8,11,1,120,10,13,3,10055
9,1,120,8,11,1,120,10,13,4,12060
9,1,120,8,11,1,120,10,13,5,14185
9,1,120,8,11,1,120,10,13,6,16409
9,1,120,8,11,1,120,10,13,7,18689
9,1,120,8,11,1,120,10,13,8,21797
9,1,120,8,11,1,120,10,13,9,24583
10,1,5,14,23,1,5,7,23,0,2355
10,1,5,14,23,1,5,7,23,1,2365
10,1,5,14,23,1,5,7,23,2,2904
10,1,5,14,23,1,5,7,23,3,4322
10,1,5,14,23,1,5,7,23,4,7896
10,1,5,14,23,1,5,7,23,5,12051
10,1,5,14,23,1,5,7,23,6,18297
10,1,5,14,23,1,5,7,23,7,18912
10,1,5,14,23,1,5,7,23,8,21131
10,1,5,14,23,1,5,7,23,9,21200
11,1,17,30,7,1,2,3,8,0,2329
11,1,17,30,7,1,2,3,8,1,2474
11,1,17,30,7,1,2,3,8,2,2491
11,1,17,30,7,1,2,3,8,3,5133
11,1,17,30,7,1,2,3,8,4,9882
11,1,17,30,7,1,2,3,8,5,12010
11,1,17,30,7,1,2,3,8,6,16572
11,1,17,30,7,1,2,3,8,7,19581
11,1,17,30,7,1,2,3,8,8,20312
11,1,17,30,7,1,2,3,8,9,21464
12,1,17,27,23,1,17,22,23,0,1406
12,1,17,27,23,1,17,22,23,1,2205
12,1,17,27,23,1,17,22,23,2,3092
12,1,17,27,23,1,17,22,23,3,4912
12,1,17,27,23,1,17,22,23,4,8622
12,1,17,27,23,1,17,22,23,5,11442
12,1,17,27,23,1,17,22,23,6,15854
12,1,17,27,23,1,17,22,23,7,18418
12,1,17,27,23,1,17,22,23,8,21242
12,1,17,27,23,1,17,22,23,9,21593
13,0,105,28,9,0,43,10,31,0,1334
13,0,105,28,9,0,43,10,31,1,3179
13,0,105,28,9,0,43,10,31,2,3634
13,0,105,28,9,0,43,10,31,3,6255
13,0,105,28,9,0,43,10,31,4,8519
