table,selector,tap,row,col,expected
LSPCodebookL1,-1,-1,0,0,1486
LSPCodebookL1,-1,-1,0,1,2168
LSPCodebookL1,-1,-1,0,2,3751
LSPCodebookL1,-1,-1,0,3,9074
LSPCodebookL1,-1,-1,0,4,12134
LSPCodebookL1,-1,-1,0,5,13944
LSPCodebookL1,-1,-1,0,6,17983
LSPCodebookL1,-1,-1,0,7,19173
LSPCodebookL1,-1,-1,0,8,21190
LSPCodebookL1,-1,-1,0,9,21820
LSPCodebookL1,-1,-1,1,0,1730
LSPCodebookL1,-1,-1,1,1,2640
LSPCodebookL1,-1,-1,1,2,3450
LSPCodebookL1,-1,-1,1,3,4870
LSPCodebookL1,-1,-1,1,4,6126
LSPCodebookL1,-1,-1,1,5,7876
LSPCodebookL1,-1,-1,1,6,15644
LSPCodebookL1,-1,-1,1,7,17817
LSPCodebookL1,-1,-1,1,8,20294
LSPCodebookL1,-1,-1,1,9,21902
LSPCodebookL1,-1,-1,2,0,1568
LSPCodebookL1,-1,-1,2,1,2256
LSPCodebookL1,-1,-1,2,2,3088
LSPCodebookL1,-1,-1,2,3,4874
LSPCodebookL1,-1,-1,2,4,11063
LSPCodebookL1,-1,-1,2,5,13393
LSPCodebookL1,-1,-1,2,6,18307
LSPCodebookL1,-1,-1,2,7,19293
LSPCodebookL1,-1,-1,2,8,21109
LSPCodebookL1,-1,-1,2,9,21741
LSPCodebookL1,-1,-1,3,0,1733
LSPCodebookL1,-1,-1,3,1,2512
LSPCodebookL1,-1,-1,3,2,3357
LSPCodebookL1,-1,-1,3,3,4708
LSPCodebookL1,-1,-1,3,4,6977
LSPCodebookL1,-1,-1,3,5,10296
LSPCodebookL1,-1,-1,3,6,17024
LSPCodebookL1,-1,-1,3,7,17956
LSPCodebookL1,-1,-1,3,8,19145
LSPCodebookL1,-1,-1,3,9,20350
LSPCodebookL1,-1,-1,4,0,1744
LSPCodebookL1,-1,-1,4,1,2436
LSPCodebookL1,-1,-1,4,2,3308
LSPCodebookL1,-1,-1,4,3,8731
LSPCodebookL1,-1,-1,4,4,10432
LSPCodebookL1,-1,-1,4,5,12007
LSPCodebookL1,-1,-1,4,6,15614
LSPCodebookL1,-1,-1,4,7,16639
LSPCodebookL1,-1,-1,4,8,21359
LSPCodebookL1,-1,-1,4,9,21913
LSPCodebookL1,-1,-1,5,0,1786
LSPCodebookL1,-1,-1,5,1,2369
LSPCodebookL1,-1,-1,5,2,3372
LSPCodebookL1,-1,-1,5,3,4521
LSPCodebookL1,-1,-1,5,4,6795
LSPCodebookL1,-1,-1,5,5,12963
LSPCodebookL1,-1,-1,5,6,17674
LSPCodebookL1,-1,-1,5,7,18988
LSPCodebookL1,-1,-1,5,8,20855
LSPCodebookL1,-1,-1,5,9,21640
LSPCodebookL1,-1,-1,6,0,1631
LSPCodebookL1,-1,-1,6,1,2433
LSPCodebookL1,-1,-1,6,2,3361
LSPCodebookL1,-1,-1,6,3,6328
LSPCodebookL1,-1,-1,6,4,10709
LSPCodebookL1,-1,-1,6,5,12013
LSPCodebookL1,-1,-1,6,6,13277
LSPCodebookL1,-1,-1,6,7,13904
LSPCodebookL1,-1,-1,6,8,19441
LSPCodebookL1,-1,-1,6,9,21088
LSPCodebookL1,-1,-1,7,0,1489
LSPCodebookL1,-1,-1,7,1,2364
LSPCodebookL1,-1,-1,7,2,3291
LSPCodebookL1,-1,-1,7,3,6250
LSPCodebookL1,-1,-1,7,4,9227
LSPCodebookL1,-1,-1,7,5,10403
LSPCodebookL1,-1,-1,7,6,13843
LSPCodebookL1,-1,-1,7,7,15278
LSPCodebookL1,-1,-1,7,8,17721
LSPCodebookL1,-1,-1,7,9,21451
LSPCodebookL1,-1,-1,8,0,1869
LSPCodebookL1,-1,-1,8,1,2533
LSPCodebookL1,-1,-1,8,2,3475
LSPCodebookL1,-1,-1,8,3,4365
LSPCodebookL1,-1,-1,8,4,9152
LSPCodebookL1,-1,-1,8,5,14513
LSPCodebookL1,-1,-1,8,6,15908
LSPCodebookL1,-1,-1,8,7,17022
LSPCodebookL1,-1,-1,8,8,20611
LSPCodebookL1,-1,-1,8,9,21411
LSPCodebookL1,-1,-1,9,0,2070
LSPCodebookL1,-1,-1,9,1,3025
LSPCodebookL1,-1,-1,9,2,4333
LSPCodebookL1,-1,-1,9,3,5854
LSPCodebookL1,-1,-1,9,4,7805
LSPCodebookL1,-1,-1,9,5,9231
LSPCodebookL1,-1,-1,9,6,10597
LSPCodebookL1,-1,-1,9,7,16047
LSPCodebookL1,-1,-1,9,8,20109
LSPCodebookL1,-1,-1,9,9,21834
LSPCodebookL1,-1,-1,10,0,1910
LSPCodebookL1,-1,-1,10,1,2673
LSPCodebookL1,-1,-1,10,2,3419
LSPCodebookL1,-1,-1,10,3,4261
LSPCodebookL1,-1,-1,10,4,11168
LSPCodebookL1,-1,-1,10,5,15111
LSPCodebookL1,-1,-1,10,6,16577
LSPCodebookL1,-1,-1,10,7,17591
LSPCodebookL1,-1,-1,10,8,19310
LSPCodebookL1,-1,-1,10,9,20265
LSPCodebookL1,-1,-1,11,0,1141
LSPCodebookL1,-1,-1,11,1,1815
LSPCodebookL1,-1,-1,11,2,2624
LSPCodebookL1,-1,-1,11,3,4623
LSPCodebookL1,-1,-1,11,4,6495
LSPCodebookL1,-1,-1,11,5,9588
LSPCodebookL1,-1,-1,11,6,13968
LSPCodebookL1,-1,-1,11,7,16428
LSPCodebookL1,-1,-1,11,8,19351
LSPCodebookL1,-1,-1,11,9,21286
LSPCodebookL1,-1,-1,12,0,2192
LSPCodebookL1,-1,-1,12,1,3171
LSPCodebookL1,-1,-1,12,2,4707
LSPCodebookL1,-1,-1,12,3,5808
LSPCodebookL1,-1,-1,12,4,10904
LSPCodebookL1,-1,-1,12,5,12500
LSPCodebookL1,-1,-1,12,6,14162
LSPCodebookL1,-1,-1,12,7,15664
LSPCodebookL1,-1,-1,12,8,21124
LSPCodebookL1,-1,-1,12,9,21789
LSPCodebookL1,-1,-1,13,0,1286
LSPCodebookL1,-1,-1,13,1,1907
LSPCodebookL1,-1,-1,13,2,2548
LSPCodebookL1,-1,-1,13,3,3453
LSPCodebookL1,-1,-1,13,4,9574
LSPCodebookL1,-1,-1,13,5,11964
LSPCodebookL1,-1,-1,13,6,15978
LSPCodebookL1,-1,-1,13,7,17344
LSPCodebookL1,-1,-1,13,8,19691
LSPCodebookL1,-1,-1,13,9,22495
LSPCodebookL1,-1,-1,14,0,1921
LSPCodebookL1,-1,-1,14,1,2720
LSPCodebookL1,-1,-1,14,2,4604
LSPCodebookL1,-1,-1,14,3,6684
LSPCodebookL1,-1,-1,14,4,11503
LSPCodebookL1,-1,-1,14,5,12992
LSPCodebookL1,-1,-1,14,6,14350
LSPCodebookL1,-1,-1,14,7,15262
LSPCodebookL1,-1,-1,14,8,16997
LSPCodebookL1,-1,-1,14,9,20791
LSPCodebookL1,-1,-1,15,0,2052
LSPCodebookL1,-1,-1,15,1,2759
LSPCodebookL1,-1,-1,15,2,3897
LSPCodebookL1,-1,-1,15,3,5246
LSPCodebookL1,-1,-1,15,4,6638
LSPCodebookL1,-1,-1,15,5,10267
LSPCodebookL1,-1,-1,15,6,15834
