field,frame,sub,index,lag,frac,expected
centre,0,0,-1,-1,-1,74
window_min,0,0,-1,-1,-1,71
window_max,0,0,-1,-1,-1,77
ref_int,0,0,-1,-1,-1,33
ref_frac,0,0,-1,-1,-1,0
ref_code,0,0,-1,-1,-1,41
prod_int,0,0,-1,-1,-1,71
prod_frac,0,0,-1,-1,-1,-1
prod_code,0,0,-1,-1,-1,154
prod_rn_int,0,0,-1,71,0,0
ref_rn_frac,0,0,-1,33,0,-207227538
a_hat,0,0,0,-1,-1,4096
a_hat,0,0,1,-1,-1,-3186
a_hat,0,0,2,-1,-1,2119
a_hat,0,0,3,-1,-1,-1098
a_hat,0,0,4,-1,-1,-276
a_hat,0,0,5,-1,-1,774
a_hat,0,0,6,-1,-1,1
a_hat,0,0,7,-1,-1,-233
a_hat,0,0,8,-1,-1,704
a_hat,0,0,9,-1,-1,-859
a_hat,0,0,10,-1,-1,389
residual,0,0,0,-1,-1,-488
residual,0,0,1,-1,-1,780
residual,0,0,2,-1,-1,-1079
residual,0,0,3,-1,-1,1906
residual,0,0,4,-1,-1,9154
residual,0,0,5,-1,-1,11277
residual,0,0,6,-1,-1,6262
residual,0,0,7,-1,-1,-151
residual,0,0,8,-1,-1,5618
residual,0,0,9,-1,-1,9232
residual,0,0,10,-1,-1,3212
residual,0,0,11,-1,-1,-1825
residual,0,0,12,-1,-1,3026
residual,0,0,13,-1,-1,7252
residual,0,0,14,-1,-1,1004
residual,0,0,15,-1,-1,-3758
residual,0,0,16,-1,-1,1302
residual,0,0,17,-1,-1,5594
residual,0,0,18,-1,-1,-500
residual,0,0,19,-1,-1,-5231
residual,0,0,20,-1,-1,68
residual,0,0,21,-1,-1,4350
residual,0,0,22,-1,-1,-1519
residual,0,0,23,-1,-1,-6239
residual,0,0,24,-1,-1,-770
residual,0,0,25,-1,-1,3573
residual,0,0,26,-1,-1,-2178
residual,0,0,27,-1,-1,-6814
residual,0,0,28,-1,-1,-1269
residual,0,0,29,-1,-1,3161
residual,0,0,30,-1,-1,-2523
residual,0,0,31,-1,-1,-7080
residual,0,0,32,-1,-1,-1477
residual,0,0,33,-1,-1,3019
residual,0,0,34,-1,-1,-2612
residual,0,0,35,-1,-1,-7117
residual,0,0,36,-1,-1,-1468
residual,0,0,37,-1,-1,3074
residual,0,0,38,-1,-1,-2518
residual,0,0,39,-1,-1,-6990
target_x,0,0,0,-1,-1,-488
target_x,0,0,1,-1,-1,745
target_x,0,0,2,-1,-1,-1006
target_x,0,0,3,-1,-1,1800
target_x,0,0,4,-1,-1,9333
target_x,0,0,5,-1,-1,11885
target_x,0,0,6,-1,-1,6810
target_x,0,0,7,-1,-1,59
target_x,0,0,8,-1,-1,5564
target_x,0,0,9,-1,-1,9712
target_x,0,0,10,-1,-1,3681
target_x,0,0,11,-1,-1,-1860
target_x,0,0,12,-1,-1,2909
target_x,0,0,13,-1,-1,7582
target_x,0,0,14,-1,-1,1389
target_x,0,0,15,-1,-1,-3900
target_x,0,0,16,-1,-1,1091
target_x,0,0,17,-1,-1,5837
target_x,0,0,18,-1,-1,-197
target_x,0,0,19,-1,-1,-5449
target_x,0,0,20,-1,-1,-216
target_x,0,0,21,-1,-1,4536
target_x,0,0,22,-1,-1,-1279
target_x,0,0,23,-1,-1,-6501
target_x,0,0,24,-1,-1,-1104
target_x,0,0,25,-1,-1,3721
target_x,0,0,26,-1,-1,-1977
target_x,0,0,27,-1,-1,-7108
target_x,0,0,28,-1,-1,-1630
target_x,0,0,29,-1,-1,3286
target_x,0,0,30,-1,-1,-2341
target_x,0,0,31,-1,-1,-7390
target_x,0,0,32,-1,-1,-1851
target_x,0,0,33,-1,-1,3134
target_x,0,0,34,-1,-1,-2435
target_x,0,0,35,-1,-1,-7428
target_x,0,0,36,-1,-1,-1841
target_x,0,0,37,-1,-1,3189
target_x,0,0,38,-1,-1,-2338
target_x,0,0,39,-1,-1,-7297
impulse_h,0,0,0,-1,-1,4096
impulse_h,0,0,1,-1,-1,2390
impulse_h,0,0,2,-1,-1,204
impulse_h,0,0,3,-1,-1,-112
impulse_h,0,0,4,-1,-1,234
impulse_h,0,0,5,-1,-1,61
impulse_h,0,0,6,-1,-1,-148
impulse_h,0,0,7,-1,-1,-57
impulse_h,0,0,8,-1,-1,-25
impulse_h,0,0,9,-1,-1,2
impulse_h,0,0,10,-1,-1,9
impulse_h,0,0,11,-1,-1,2
