vector,frame,subframe,field,got
PITCH,0,-1,top_open_loop,74
PITCH,1,-1,top_open_loop,85
PITCH,2,-1,top_open_loop,80
PITCH,3,-1,top_open_loop,80
PITCH,4,-1,top_open_loop,80
PITCH,5,-1,top_open_loop,84
PITCH,6,-1,top_open_loop,70
PITCH,7,-1,top_open_loop,28
PITCH,8,-1,top_open_loop,80
PITCH,9,-1,top_open_loop,80
PITCH,10,-1,top_open_loop,80
PITCH,11,-1,top_open_loop,83
PITCH,12,-1,top_open_loop,83
PITCH,13,-1,top_open_loop,143
PITCH,14,-1,top_open_loop,39
PITCH,15,-1,top_open_loop,26
PITCH,16,-1,top_open_loop,65
PITCH,17,-1,top_open_loop,26
PITCH,18,-1,top_open_loop,88
PITCH,19,-1,top_open_loop,76
PITCH,20,-1,top_open_loop,20
PITCH,21,-1,top_open_loop,40
PITCH,22,-1,top_open_loop,40
PITCH,23,-1,top_open_loop,40
PITCH,24,-1,top_open_loop,84
PITCH,25,-1,top_open_loop,70
PITCH,26,-1,top_open_loop,20
PITCH,27,-1,top_open_loop,80
PITCH,28,-1,top_open_loop,80
PITCH,29,-1,top_open_loop,80
PITCH,30,-1,top_open_loop,90
PITCH,31,-1,top_open_loop,79
PITCH,32,-1,top_open_loop,21
PITCH,33,-1,top_open_loop,80
PITCH,34,-1,top_open_loop,80
PITCH,35,-1,top_open_loop,80
PITCH,36,-1,top_open_loop,80
PITCH,37,-1,top_open_loop,102
PITCH,38,-1,top_open_loop,24
PITCH,39,-1,top_open_loop,24
PITCH,40,-1,top_open_loop,24
PITCH,41,-1,top_open_loop,78
PITCH,42,-1,top_open_loop,60
PITCH,43,-1,top_open_loop,109
PITCH,44,-1,top_open_loop,143
PITCH,45,-1,top_open_loop,42
PITCH,46,-1,top_open_loop,24
PITCH,47,-1,top_open_loop,102
PITCH,48,-1,top_open_loop,138
PITCH,49,-1,top_open_loop,84
PITCH,50,-1,top_open_loop,80
PITCH,51,-1,top_open_loop,25
PITCH,52,-1,top_open_loop,44
PITCH,53,-1,top_open_loop,50
PITCH,54,-1,top_open_loop,38
PITCH,55,-1,top_open_loop,38
PITCH,56,-1,top_open_loop,100
PITCH,57,-1,top_open_loop,21
PITCH,58,-1,top_open_loop,98
PITCH,59,-1,top_open_loop,21
PITCH,60,-1,top_open_loop,70
PITCH,61,-1,top_open_loop,28
PITCH,62,-1,top_open_loop,85
PITCH,63,-1,top_open_loop,142
PITCH,64,-1,top_open_loop,21
PITCH,65,-1,top_open_loop,28
PITCH,66,-1,top_open_loop,84
PITCH,67,-1,top_open_loop,28
PITCH,68,-1,top_open_loop,112
PITCH,69,-1,top_open_loop,142
PITCH,70,-1,top_open_loop,59
PITCH,71,-1,top_open_loop,37
PITCH,72,-1,top_open_loop,73
PITCH,73,-1,top_open_loop,21
PITCH,74,-1,top_open_loop,37
PITCH,75,-1,top_open_loop,80
PITCH,76,-1,top_open_loop,24
PITCH,77,-1,top_open_loop,112
PITCH,78,-1,top_open_loop,24
PITCH,79,-1,top_open_loop,24
PITCH,80,-1,top_open_loop,24
PITCH,81,-1,top_open_loop,105
PITCH,82,-1,top_open_loop,139
PITCH,83,-1,top_open_loop,88
PITCH,84,-1,top_open_loop,79
PITCH,85,-1,top_open_loop,23
PITCH,86,-1,top_open_loop,39
PITCH,87,-1,top_open_loop,80
PITCH,88,-1,top_open_loop,139
PITCH,89,-1,top_open_loop,58
PITCH,90,-1,top_open_loop,142
PITCH,91,-1,top_open_loop,26
PITCH,92,-1,top_open_loop,100
PITCH,93,-1,top_open_loop,108
PITCH,94,-1,top_open_loop,79
PITCH,95,-1,top_open_loop,27
PITCH,96,-1,top_open_loop,108
PITCH,97,-1,top_open_loop,90
PITCH,98,-1,top_open_loop,81
PITCH,99,-1,top_open_loop,26
PITCH,100,-1,top_open_loop,102
PITCH,101,-1,top_open_loop,143
PITCH,102,-1,top_open_loop,90
PITCH,103,-1,top_open_loop,28
PITCH,104,-1,top_open_loop,28
PITCH,105,-1,top_open_loop,36
PITCH,106,-1,top_open_loop,63
PITCH,107,-1,top_open_loop,134
PITCH,108,-1,top_open_loop,56
PITCH,109,-1,top_open_loop,28
PITCH,110,-1,top_open_loop,36
PITCH,111,-1,top_open_loop,48
PITCH,112,-1,top_open_loop,47
PITCH,113,-1,top_open_loop,92
PITCH,114,-1,top_open_loop,30
PITCH,115,-1,top_open_loop,110
PITCH,116,-1,top_open_loop,21
PITCH,117,-1,top_open_loop,21
PITCH,118,-1,top_open_loop,71
PITCH,119,-1,top_open_loop,88
PITCH,120,-1,top_open_loop,20
PITCH,121,-1,top_open_loop,90
PITCH,122,-1,top_open_loop,29
PITCH,123,-1,top_open_loop,21
PITCH,124,-1,top_open_loop,79
PITCH,125,-1,top_open_loop,90
PITCH,126,-1,top_open_loop,137
PITCH,127,-1,top_open_loop,20
PITCH,128,-1,top_open_loop,134
PITCH,129,-1,top_open_loop,20
PITCH,130,-1,top_open_loop,32
PITCH,131,-1,top_open_loop,82
PITCH,132,-1,top_open_loop,96
PITCH,133,-1,top_open_loop,44
PITCH,134,-1,top_open_loop,111
PITCH,135,-1,top_open_loop,21
PITCH,136,-1,top_open_loop,22
PITCH,137,-1,top_open_loop,23
PITCH,138,-1,top_open_loop,21
PITCH,139,-1,top_open_loop,22
PITCH,140,-1,top_open_loop,88
PITCH,141,-1,top_open_loop,143
PITCH,142,-1,top_open_loop,23
PITCH,143,-1,top_open_loop,43
PITCH,144,-1,top_open_loop,22
PITCH,145,-1,top_open_loop,140
PITCH,146,-1,top_open_loop,22
PITCH,147,-1,top_open_loop,136
PITCH,148,-1,top_open_loop,22
PITCH,149,-1,top_open_loop,78
PITCH,150,-1,top_open_loop,34
PITCH,151,-1,top_open_loop,80
PITCH,152,-1,top_open_loop,48
PITCH,153,-1,top_open_loop,120
PITCH,154,-1,top_open_loop,37
PITCH,155,-1,top_open_loop,23
PITCH,156,-1,top_open_loop,23
PITCH,157,-1,top_open_loop,70
PITCH,158,-1,top_open_loop,24
PITCH,159,-1,top_open_loop,84
PITCH,160,-1,top_open_loop,23
PITCH,161,-1,top_open_loop,23
PITCH,162,-1,top_open_loop,60
PITCH,163,-1,top_open_loop,24
PITCH,164,-1,top_open_loop,131
PITCH,165,-1,top_open_loop,62
PITCH,166,-1,top_open_loop,135
PITCH,167,-1,top_open_loop,23
PITCH,168,-1,top_open_loop,25
PITCH,169,-1,top_open_loop,62
PITCH,170,-1,top_open_loop,73
PITCH,171,-1,top_open_loop,39
PITCH,172,-1,top_open_loop,117
PITCH,173,-1,top_open_loop,66
PITCH,174,-1,top_open_loop,116
PITCH,175,-1,top_open_loop,25
PITCH,176,-1,top_open_loop,67
PITCH,177,-1,top_open_loop,26
PITCH,178,-1,top_open_loop,91
PITCH,179,-1,top_open_loop,25
PITCH,180,-1,top_open_loop,26
PITCH,181,-1,top_open_loop,27
PITCH,182,-1,top_open_loop,26
PITCH,183,-1,top_open_loop,133
PITCH,184,-1,top_open_loop,67
PITCH,185,-1,top_open_loop,134
PITCH,186,-1,top_open_loop,25
PITCH,187,-1,top_open_loop,25
PITCH,188,-1,top_open_loop,66
PITCH,189,-1,top_open_loop,83
PITCH,190,-1,top_open_loop,28
PITCH,191,-1,top_open_loop,112
PITCH,192,-1,top_open_loop,27
PITCH,193,-1,top_open_loop,28
PITCH,194,-1,top_open_loop,70
PITCH,195,-1,top_open_loop,90
PITCH,196,-1,top_open_loop,28
PITCH,197,-1,top_open_loop,98
PITCH,198,-1,top_open_loop,28
PITCH,199,-1,top_open_loop,28
PITCH,200,-1,top_open_loop,70
PITCH,201,-1,top_open_loop,28
PITCH,202,-1,top_open_loop,135
PITCH,203,-1,top_open_loop,58
PITCH,204,-1,top_open_loop,130
PITCH,205,-1,top_open_loop,102
PITCH,206,-1,top_open_loop,27
PITCH,207,-1,top_open_loop,130
PITCH,208,-1,top_open_loop,74
PITCH,209,-1,top_open_loop,30
PITCH,210,-1,top_open_loop,120
PITCH,211,-1,top_open_loop,29
PITCH,212,-1,top_open_loop,29
PITCH,213,-1,top_open_loop,29
PITCH,214,-1,top_open_loop,68
PITCH,215,-1,top_open_loop,30
PITCH,216,-1,top_open_loop,91
PITCH,217,-1,top_open_loop,29
PITCH,218,-1,top_open_loop,29
PITCH,219,-1,top_open_loop,29
PITCH,220,-1,top_open_loop,30
PITCH,221,-1,top_open_loop,137
PITCH,222,-1,top_open_loop,62
PITCH,223,-1,top_open_loop,138
PITCH,224,-1,top_open_loop,92
PITCH,225,-1,top_open_loop,124
PITCH,226,-1,top_open_loop,108
PITCH,227,-1,top_open_loop,68
PITCH,228,-1,top_open_loop,138
PITCH,229,-1,top_open_loop,128
PITCH,230,-1,top_open_loop,30
PITCH,231,-1,top_open_loop,30
PITCH,232,-1,top_open_loop,30
PITCH,233,-1,top_open_loop,20
PITCH,234,-1,top_open_loop,139
PITCH,235,-1,top_open_loop,96
PITCH,236,-1,top_open_loop,31
PITCH,237,-1,top_open_loop,31
PITCH,238,-1,top_open_loop,31
PITCH,239,-1,top_open_loop,48
PITCH,240,-1,top_open_loop,139
PITCH,241,-1,top_open_loop,66
PITCH,242,-1,top_open_loop,131
PITCH,243,-1,top_open_loop,31
PITCH,244,-1,top_open_loop,31
PITCH,245,-1,top_open_loop,132
PITCH,246,-1,top_open_loop,80
PITCH,247,-1,top_open_loop,34
PITCH,248,-1,top_open_loop,102
PITCH,249,-1,top_open_loop,32
PITCH,250,-1,top_open_loop,51
PITCH,251,-1,top_open_loop,32
PITCH,252,-1,top_open_loop,22
PITCH,253,-1,top_open_loop,140
PITCH,254,-1,top_open_loop,102
PITCH,255,-1,top_open_loop,35
PITCH,256,-1,top_open_loop,119
PITCH,257,-1,top_open_loop,32
PITCH,258,-1,top_open_loop,51
