field,frame,sub,index,expected
taming_clip_q14,-1,-1,-1,15565
taming_energy_threshold_q0,-1,-1,-1,8589934592
local_lsp_index,0,-1,0,1
local_lsp_index,0,-1,1,80
local_lsp_index,0,-1,2,13
local_lsp_index,0,-1,3,5
bitstream_lsp_index,0,-1,0,1
bitstream_lsp_index,0,-1,1,80
bitstream_lsp_index,0,-1,2,12
bitstream_lsp_index,0,-1,3,5
state_prev_gp_q14,0,0,-1,0
state_prev_taming,0,0,-1,0
state_old_exc_energy,0,0,-1,0
state_old_exc_max_abs,0,0,-1,0
state_past_qua_en,0,0,0,-14336
state_past_qua_en,0,0,1,-14336
state_past_qua_en,0,0,2,-14336
state_past_qua_en,0,0,3,-14336
local_window_min,0,0,-1,21
local_window_max,0,0,-1,27
local_int_lag,0,0,-1,24
local_frac,0,0,-1,0
local_pitch_code,0,0,-1,14
local_p0,0,0,-1,1
local_c,0,0,-1,2179
local_s,0,0,-1,4
local_ga,0,0,-1,1
local_gb,0,0,-1,14
tap_gp_q14,0,0,-1,10671
tap_gc_q12,0,0,-1,8120
tap_taming,0,0,-1,0
tap_abs_pitch,0,0,-1,47752
tap_abs_code,0,0,-1,37352
tap_saturation_count,0,0,-1,0
bitstream_pitch_code,0,0,-1,2
bitstream_p0,0,0,-1,1
bitstream_int_lag,0,0,-1,20
bitstream_frac,0,0,-1,0
bitstream_c,0,0,-1,0
bitstream_s,0,0,-1,15
bitstream_ga,0,0,-1,5
bitstream_gb,0,0,-1,6
state_prev_gp_q14,0,1,-1,10671
state_prev_taming,0,1,-1,0
state_old_exc_energy,0,1,-1,512526894
state_old_exc_max_abs,0,1,-1,8120
state_past_qua_en,0,1,0,-9085
state_past_qua_en,0,1,1,-14336
state_past_qua_en,0,1,2,-14336
state_past_qua_en,0,1,3,-14336
local_window_min,0,1,-1,20
local_window_max,0,1,-1,29
local_int_lag,0,1,-1,24
local_frac,0,1,-1,0
local_pitch_code,0,1,-1,14
local_c,0,1,-1,1041
local_s,0,1,-1,4
local_ga,0,1,-1,5
local_gb,0,1,-1,0
tap_gp_q14,0,1,-1,5143
tap_gc_q12,0,1,-1,7371
tap_taming,0,1,-1,0
tap_abs_pitch,0,1,-1,41033
tap_abs_code,0,1,-1,48688
tap_saturation_count,0,1,-1,0
bitstream_pitch_code,0,1,-1,14
bitstream_int_lag,0,1,-1,24
bitstream_frac,0,1,-1,0
bitstream_c,0,1,-1,3074
bitstream_s,0,1,-1,2
bitstream_ga,0,1,-1,2
bitstream_gb,0,1,-1,12
local_lsp_index,1,-1,0,1
local_lsp_index,1,-1,1,80
local_lsp_index,1,-1,2,8
local_lsp_index,1,-1,3,5
bitstream_lsp_index,1,-1,0,1
bitstream_lsp_index,1,-1,1,80
bitstream_lsp_index,1,-1,2,13
bitstream_lsp_index,1,-1,3,5
state_prev_gp_q14,1,0,-1,5143
state_prev_taming,1,0,-1,0
state_old_exc_energy,1,0,-1,939641853
state_old_exc_max_abs,1,0,-1,8120
state_past_qua_en,1,0,0,-12077
state_past_qua_en,1,0,1,-9085
state_past_qua_en,1,0,2,-14336
state_past_qua_en,1,0,3,-14336
local_window_min,1,0,-1,21
local_window_max,1,0,-1,27
local_int_lag,1,0,-1,24
local_frac,1,0,-1,0
local_pitch_code,1,0,-1,14
local_p0,1,0,-1,1
local_c,1,0,-1,1795
local_s,1,0,-1,4
local_ga,1,0,-1,5
local_gb,1,0,-1,14
tap_gp_q14,1,0,-1,9121
tap_gc_q12,1,0,-1,9310
tap_taming,1,0,-1,0
tap_abs_pitch,1,0,-1,65769
tap_abs_code,1,0,-1,43084
tap_saturation_count,1,0,-1,0
bitstream_pitch_code,1,0,-1,54
bitstream_p0,1,0,-1,0
bitstream_int_lag,1,0,-1,37
bitstream_frac,1,0,-1,1
bitstream_c,1,0,-1,2822
bitstream_s,1,0,-1,15
bitstream_ga,1,0,-1,2
bitstream_gb,1,0,-1,13
state_prev_gp_q14,1,1,-1,9121
state_prev_taming,1,1,-1,0
state_old_exc_energy,1,1,-1,1530642190
state_old_exc_max_abs,1,1,-1,10569
state_past_qua_en,1,1,0,-12366
state_past_qua_en,1,1,1,-12077
state_past_qua_en,1,1,2,-9085
state_past_qua_en,1,1,3,-14336
local_window_min,1,1,-1,20
local_window_max,1,1,-1,29
local_int_lag,1,1,-1,21
local_frac,1,1,-1,0
local_pitch_code,1,1,-1,5
local_c,1,1,-1,5174
local_s,1,1,-1,15
local_ga,1,1,-1,5
local_gb,1,1,-1,6
tap_gp_q14,1,1,-1,1995
tap_gc_q12,1,1,-1,6486
tap_taming,1,1,-1,0
tap_abs_pitch,1,1,-1,16123
tap_abs_code,1,1,-1,33166
tap_saturation_count,1,1,-1,0
bitstream_pitch_code,1,1,-1,2
bitstream_int_lag,1,1,-1,32
