frame,sub,n,t_int,t_frac,v_n,v_n_minus_t,u_n_minus_t,delta_vs_v_minus_t,delta_vs_u_minus_t,relation_code
117,0,24,24,0,-287,-284,-286,-3,-1,1
117,0,25,24,0,126,124,231,2,-105,0
117,0,26,24,0,-411,-410,-306,-1,-105,0
117,0,27,24,0,-142,-144,-145,2,3,0
117,0,28,24,0,131,134,135,-3,-4,0
117,0,29,24,0,-228,-232,-234,4,6,0
117,0,30,24,0,190,192,193,-2,-3,0
117,0,31,24,0,-127,-127,-128,0,1,0
117,0,32,24,0,-314,-318,-320,4,6,0
117,0,33,24,0,148,153,154,-5,-6,0
117,0,34,24,0,-265,-269,-271,4,6,0
117,0,35,24,0,28,30,30,-2,-2,2
117,0,36,24,0,215,215,217,0,-2,0
117,0,37,24,0,-230,-231,-233,1,3,0
117,0,38,24,0,198,198,199,0,-1,0
117,0,39,24,0,-101,-98,8,-3,-109,0
117,1,24,24,0,-293,-301,-294,8,1,1
117,1,25,24,0,111,119,207,-8,-96,0
117,1,26,24,0,-267,-273,-177,6,-90,0
117,1,27,24,0,43,46,45,-3,-2,1
117,1,28,24,0,198,198,194,0,4,0
117,1,29,24,0,-340,-341,-334,1,-6,0
117,1,30,24,0,125,125,122,0,3,0
117,1,31,24,0,-80,-78,-76,-2,-4,0
117,1,32,24,0,-275,-279,-273,4,-2,1
117,1,33,24,0,197,202,198,-5,-1,1
117,1,34,24,0,-317,-321,-314,4,-3,1
117,1,35,24,0,-147,-147,-144,0,-3,0
117,1,36,24,0,129,132,129,-3,0,1
117,1,37,24,0,-223,-228,-223,5,0,1
117,1,38,24,0,185,189,185,-4,0,1
117,1,39,24,0,-126,-128,-35,2,-91,0
119,0,32,32,0,-269,-259,-261,-10,-8,1
119,0,33,32,0,189,180,181,9,8,1
119,0,34,32,0,-298,-290,-292,-8,-6,1
119,0,35,32,0,-272,-282,-107,10,-165,0
119,0,36,32,0,125,134,135,-9,-10,0
119,0,37,32,0,-216,-224,-226,8,10,0
119,0,38,32,0,186,191,369,-5,-183,0
119,0,39,32,0,96,95,96,1,0,1
119,1,32,32,0,-280,-281,-303,1,23,0
119,1,33,32,0,121,122,131,-1,-10,0
119,1,34,32,0,-240,-241,-260,1,20,0
119,1,35,32,0,-62,-64,218,2,-280,0
119,1,36,32,0,193,197,212,-4,-19,0
119,1,37,32,0,-198,-204,-220,6,22,0
119,1,38,32,0,171,176,190,-5,-19,0
119,1,39,32,0,-49,-53,-57,4,8,0
