vector,frame,subframe,field,expected,got,delta,notes
PITCH,0,-1,top_open_loop,20,74,54,mismatch
PITCH,1,-1,top_open_loop,32,33,1,mismatch
PITCH,2,-1,top_open_loop,32,80,48,mismatch
PITCH,3,-1,top_open_loop,32,80,48,mismatch
PITCH,4,-1,top_open_loop,32,80,48,mismatch
PITCH,5,-1,top_open_loop,27,84,57,mismatch
PITCH,6,-1,top_open_loop,20,70,50,mismatch
PITCH,7,-1,top_open_loop,36,28,-8,mismatch
PITCH,8,-1,top_open_loop,32,36,4,mismatch
PITCH,9,-1,top_open_loop,32,36,4,mismatch
PITCH,10,-1,top_open_loop,32,36,4,mismatch
PITCH,11,-1,top_open_loop,36,83,47,mismatch
PITCH,12,-1,top_open_loop,136,79,-57,mismatch
PITCH,13,-1,top_open_loop,22,22,0,range_ok
PITCH,14,-1,top_open_loop,26,39,13,mismatch
PITCH,15,-1,top_open_loop,39,26,-13,mismatch
PITCH,16,-1,top_open_loop,26,39,13,mismatch
PITCH,17,-1,top_open_loop,39,26,-13,mismatch
PITCH,18,-1,top_open_loop,107,79,-28,mismatch
PITCH,19,-1,top_open_loop,20,20,0,range_ok
PITCH,20,-1,top_open_loop,25,20,-5,mismatch
PITCH,21,-1,top_open_loop,25,30,5,mismatch
PITCH,22,-1,top_open_loop,25,30,5,mismatch
PITCH,23,-1,top_open_loop,25,30,5,mismatch
PITCH,24,-1,top_open_loop,21,84,63,mismatch
PITCH,25,-1,top_open_loop,20,70,50,mismatch
PITCH,26,-1,top_open_loop,25,20,-5,mismatch
PITCH,27,-1,top_open_loop,25,30,5,mismatch
PITCH,28,-1,top_open_loop,25,30,5,mismatch
PITCH,29,-1,top_open_loop,25,30,5,mismatch
PITCH,30,-1,top_open_loop,25,90,65,mismatch
PITCH,31,-1,top_open_loop,142,79,-63,mismatch
PITCH,32,-1,top_open_loop,21,21,0,range_ok
PITCH,33,-1,top_open_loop,32,32,0,range_ok
PITCH,34,-1,top_open_loop,32,32,0,range_ok
PITCH,35,-1,top_open_loop,32,32,0,range_ok
PITCH,36,-1,top_open_loop,21,37,16,mismatch
PITCH,37,-1,top_open_loop,135,102,-33,mismatch
PITCH,38,-1,top_open_loop,24,24,0,range_ok
PITCH,39,-1,top_open_loop,24,24,0,range_ok
PITCH,40,-1,top_open_loop,24,24,0,range_ok
PITCH,41,-1,top_open_loop,30,36,6,mismatch
PITCH,42,-1,top_open_loop,24,24,0,range_ok
PITCH,43,-1,top_open_loop,34,109,75,mismatch
PITCH,44,-1,top_open_loop,24,24,0,range_ok
PITCH,45,-1,top_open_loop,30,24,-6,mismatch
PITCH,46,-1,top_open_loop,36,24,-12,mismatch
PITCH,47,-1,top_open_loop,24,24,0,range_ok
PITCH,48,-1,top_open_loop,30,36,6,mismatch
PITCH,49,-1,top_open_loop,36,24,-12,mismatch
PITCH,50,-1,top_open_loop,132,80,-52,mismatch
PITCH,51,-1,top_open_loop,25,25,0,range_ok
PITCH,52,-1,top_open_loop,25,38,13,mismatch
PITCH,53,-1,top_open_loop,38,38,0,range_ok
PITCH,54,-1,top_open_loop,38,38,0,range_ok
PITCH,55,-1,top_open_loop,25,38,13,mismatch
PITCH,56,-1,top_open_loop,104,100,-4,mismatch
PITCH,57,-1,top_open_loop,21,21,0,range_ok
PITCH,58,-1,top_open_loop,21,35,14,mismatch
PITCH,59,-1,top_open_loop,21,21,0,range_ok
PITCH,60,-1,top_open_loop,21,21,0,range_ok
PITCH,61,-1,top_open_loop,21,35,14,mismatch
PITCH,62,-1,top_open_loop,28,85,57,mismatch
PITCH,63,-1,top_open_loop,21,21,0,range_ok
PITCH,64,-1,top_open_loop,21,28,7,mismatch
PITCH,65,-1,top_open_loop,35,21,-14,mismatch
PITCH,66,-1,top_open_loop,21,35,14,mismatch
PITCH,67,-1,top_open_loop,28,21,-7,mismatch
PITCH,68,-1,top_open_loop,21,21,0,range_ok
PITCH,69,-1,top_open_loop,22,23,1,mismatch
PITCH,70,-1,top_open_loop,22,22,0,range_ok
PITCH,71,-1,top_open_loop,22,22,0,range_ok
PITCH,72,-1,top_open_loop,22,22,0,range_ok
PITCH,73,-1,top_open_loop,22,22,0,range_ok
PITCH,74,-1,top_open_loop,22,22,0,range_ok
PITCH,75,-1,top_open_loop,120,80,-40,mismatch
PITCH,76,-1,top_open_loop,24,24,0,range_ok
PITCH,77,-1,top_open_loop,24,24,0,range_ok
PITCH,78,-1,top_open_loop,24,24,0,range_ok
PITCH,79,-1,top_open_loop,24,24,0,range_ok
PITCH,80,-1,top_open_loop,24,24,0,range_ok
PITCH,81,-1,top_open_loop,34,73,39,mismatch
PITCH,82,-1,top_open_loop,24,24,0,range_ok
PITCH,83,-1,top_open_loop,24,24,0,range_ok
PITCH,84,-1,top_open_loop,24,24,0,range_ok
PITCH,85,-1,top_open_loop,24,24,0,range_ok
PITCH,86,-1,top_open_loop,24,24,0,range_ok
PITCH,87,-1,top_open_loop,32,24,-8,mismatch
PITCH,88,-1,top_open_loop,139,139,0,range_ok
PITCH,89,-1,top_open_loop,25,25,0,range_ok
PITCH,90,-1,top_open_loop,25,25,0,range_ok
PITCH,91,-1,top_open_loop,33,25,-8,mismatch
PITCH,92,-1,top_open_loop,25,25,0,range_ok
PITCH,93,-1,top_open_loop,25,25,0,range_ok
