frame,t_op,int_t1,delta,plausible
0,74,33,-41,false
1,85,95,10,false
2,80,80,0,true
3,80,80,0,true
4,80,80,0,true
5,84,80,-4,true
6,70,77,7,false
7,28,78,50,false
8,80,80,0,true
9,80,80,0,true
10,80,80,0,true
11,83,80,-3,true
12,83,94,11,false
13,143,75,-68,false
14,39,26,-13,false
15,26,26,0,true
16,65,108,43,false
17,26,26,0,true
18,88,117,29,false
19,76,132,56,false
20,20,20,0,true
21,40,80,40,false
22,40,80,40,false
23,40,80,40,false
24,84,80,-4,true
25,70,76,6,false
26,20,141,121,false
27,80,81,1,true
28,80,80,0,true
29,80,80,0,true
30,90,80,-10,false
31,79,94,15,false
32,21,77,56,false
33,80,80,0,true
34,80,80,0,true
35,80,80,0,true
36,80,80,0,true
37,102,84,-18,false
38,24,133,109,false
39,24,24,0,true
40,24,36,12,false
41,78,79,1,true
42,60,139,79,false
43,109,113,4,true
44,143,76,-67,false
45,42,139,97,false
46,24,96,72,false
47,102,24,-78,false
48,138,42,-96,false
49,84,84,0,true
50,80,94,14,false
51,25,74,49,false
52,44,83,39,false
53,50,25,-25,false
54,38,38,0,true
55,38,114,76,false
56,100,83,-17,false
57,21,130,109,false
58,98,85,-13,false
59,21,21,0,true
60,70,21,-49,false
61,28,35,7,false
62,85,84,-1,true
63,142,80,-62,false
64,21,134,113,false
65,28,92,64,false
66,84,28,-56,false
67,28,139,111,false
68,112,28,-84,false
69,142,81,-61,false
70,59,75,16,false
71,37,22,-15,false
72,73,22,-51,false
73,21,22,1,true
74,37,36,-1,true
75,80,62,-18,false
76,24,127,103,false
77,112,24,-88,false
78,24,32,8,false
79,24,32,8,false
80,24,24,0,true
81,105,47,-58,false
82,139,76,-63,false
83,88,138,50,false
84,79,24,-55,false
85,23,24,1,true
86,39,32,-7,false
87,80,24,-56,false
88,139,78,-61,false
89,58,77,19,false
90,142,33,-109,false
91,26,25,-1,true
92,100,92,-8,false
93,108,25,-83,false
94,79,110,31,false
95,27,133,106,false
96,108,27,-81,false
97,90,82,-8,false
98,81,81,0,true
99,26,135,109,false
100,102,117,15,false
101,143,84,-59,false
102,90,27,-63,false
103,28,36,8,false
104,28,27,-1,true
105,36,45,9,false
106,63,36,-27,false
107,134,75,-59,false
108,56,77,21,false
109,28,28,0,true
110,36,28,-8,false
111,48,28,-20,false
112,47,65,18,false
113,92,139,47,false
114,30,136,106,false
115,110,79,-31,false
116,21,80,59,false
117,21,80,59,false
118,71,80,9,false
119,88,90,2,true
120,20,92,72,false
121,90,83,-7,false
122,29,80,51,false
123,21,80,59,false
124,79,80,1,true
125,90,80,-10,false
126,137,93,-44,false
127,20,20,0,true
128,134,31,-103,false
129,20,31,11,false
130,32,31,-1,true
131,82,142,60,false
132,96,81,-15,false
133,44,130,86,false
134,111,87,-24,false
135,21,33,12,false
136,22,33,11,false
137,23,33,10,false
